history,cohort.date,treatment,vial,larvae,timepoint,notes
heatwave,20221022,control,HC8,15,12,
heatwave,20221022,control,HC9,15,12,
heatwave,20221022,control,HC10,15,12,
wildtype,20221022,control,WTC1,15,12,
wildtype,20221022,control,WTC2,15,12,
wildtype,20221022,control,WTC3,14,12,
wildtype,20221022,control,WTC4,15,12,
wildtype,20221022,control,WTC5,15,12,
wildtype,20221022,control,WTC6,13,12,
wildtype,20221022,control,WTC7,15,12,
wildtype,20221022,control,WTC8,14,12,
wildtype,20221022,control,WTC9,15,12,
wildtype,20221022,control,WTC10,14,12,
ambient,20221022,ramp,AR1,11,12,
ambient,20221022,ramp,AR2,10,12,
ambient,20221022,ramp,AR3,9,12,
ambient,20221022,ramp,AR4,10,12,
heatwave,20221022,ramp,AR5,9,12,
heatwave,20221022,ramp,HR1,15,12,
heatwave,20221022,ramp,HR2,14,12,
heatwave,20221022,ramp,HR3,15,12,
heatwave,20221022,ramp,HR4,14,12,
heatwave,20221022,ramp,HR5,15,12,
heatwave,20221022,ramp,HR6,15,12,
heatwave,20221022,ramp,HR7,14,12,
heatwave,20221022,ramp,HR8,14,12,
heatwave,20221022,ramp,HR9,13,12,
wildtype,20221022,ramp,HR10,15,12,
wildtype,20221022,ramp,WTR1,10,12,
wildtype,20221022,ramp,WTR2,9,12,
wildtype,20221022,ramp,WTR3,9,12,
wildtype,20221022,ramp,WTR4,12,12,
wildtype,20221022,ramp,WTR5,9,12,
wildtype,20221022,ramp,WTR6,13,12,
wildtype,20221022,ramp,WTR7,12,12,
wildtype,20221022,ramp,WTR8,13,12,
wildtype,20221022,ramp,WTR9,13,12,
wildtype,20221022,ramp,WTR10,10,12,
ambient,20221022,control,AC1,11,21,
ambient,20221022,control,AC2,14,21,
ambient,20221022,control,AC3,14,21,
ambient,20221022,control,AC4,13,21,
heatwave,20221022,control,HC1,15,21,
heatwave,20221022,control,HC2,15,21,
heatwave,20221022,control,HC3,15,21,
heatwave,20221022,control,HC4,15,21,
heatwave,20221022,control,HC5,15,21,
heatwave,20221022,control,HC6,14,21,
heatwave,20221022,control,HC7,15,21,
heatwave,20221022,control,HC8,15,21,
heatwave,20221022,control,HC9,15,21,
heatwave,20221022,control,HC10,15,21,
wildtype,20221022,control,WTC1,11,21,
wildtype,20221022,control,WTC2,11,21,
wildtype,20221022,control,WTC3,11,21,
wildtype,20221022,control,WTC4,12,21,
wildtype,20221022,control,WTC5,14,21,
wildtype,20221022,control,WTC6,13,21,
wildtype,20221022,control,WTC7,14,21,
wildtype,20221022,control,WTC8,13,21,
wildtype,20221022,control,WTC9,12,21,
wildtype,20221022,control,WTC10,13,21,
ambient,20221022,ramp,AR1,10,21,
ambient,20221022,ramp,AR2,8,21,
ambient,20221022,ramp,AR3,6,21,
ambient,20221022,ramp,AR4,8,21,
heatwave,20221022,ramp,AR5,5,21,
heatwave,20221022,ramp,HR1,14,21,
heatwave,20221022,ramp,HR2,14,21,
heatwave,20221022,ramp,HR3,15,21,
heatwave,20221022,ramp,HR4,15,21,
heatwave,20221022,ramp,HR5,13,21,
heatwave,20221022,ramp,HR6,13,21,
heatwave,20221022,ramp,HR7,14,21,
heatwave,20221022,ramp,HR8,14,21,
heatwave,20221022,ramp,HR9,13,21,
wildtype,20221022,ramp,HR10,11,21,
wildtype,20221022,ramp,WTR1,9,21,
wildtype,20221022,ramp,WTR2,9,21,
wildtype,20221022,ramp,WTR3,5,21,
wildtype,20221022,ramp,WTR4,9,21,
wildtype,20221022,ramp,WTR5,5,21,
wildtype,20221022,ramp,WTR6,11,21,
wildtype,20221022,ramp,WTR7,11,21,
wildtype,20221022,ramp,WTR8,12,21,
wildtype,20221022,ramp,WTR9,9,21,
wildtype,20221022,ramp,WTR10,9,21,
ambient,20221022,control,AC1,11,27,
ambient,20221022,control,AC2,14,27,
ambient,20221022,control,AC3,13,27,
ambient,20221022,control,AC4,12,27,
heatwave,20221022,control,HC1,15,27,
heatwave,20221022,control,HC2,15,27,
heatwave,20221022,control,HC3,14,27,
heatwave,20221022,control,HC4,15,27,
heatwave,20221022,control,HC5,15,27,
heatwave,20221022,control,HC6,14,27,
heatwave,20221022,control,HC7,15,27,
heatwave,20221022,control,HC8,15,27,
heatwave,20221022,control,HC9,14,27,
heatwave,20221022,control,HC10,15,27,
wildtype,20221022,control,WTC1,11,27,
wildtype,20221022,control,WTC2,11,27,
wildtype,20221022,control,WTC3,11,27,
wildtype,20221022,control,WTC4,12,27,
wildtype,20221022,control,WTC5,14,27,
wildtype,20221022,control,WTC6,13,27,
wildtype,20221022,control,WTC7,14,27,
wildtype,20221022,control,WTC8,13,27,
wildtype,20221022,control,WTC9,12,27,
wildtype,20221022,control,WTC10,13,27,
ambient,20221022,ramp,AR1,8,27,
ambient,20221022,ramp,AR2,6,27,
ambient,20221022,ramp,AR3,4,27,
ambient,20221022,ramp,AR4,6,27,
heatwave,20221022,ramp,AR5,3,27,
heatwave,20221022,ramp,HR1,11,27,
heatwave,20221022,ramp,HR2,11,27,
heatwave,20221022,ramp,HR3,9,27,
heatwave,20221022,ramp,HR4,13,27,
heatwave,20221022,ramp,HR5,10,27,
heatwave,20221022,ramp,HR6,11,27,
heatwave,20221022,ramp,HR7,12,27,
heatwave,20221022,ramp,HR8,10,27,
heatwave,20221022,ramp,HR9,11,27,
wildtype,20221022,ramp,HR10,9,27,
wildtype,20221022,ramp,WTR1,6,27,
wildtype,20221022,ramp,WTR2,5,27,
wildtype,20221022,ramp,WTR3,4,27,
wildtype,20221022,ramp,WTR4,7,27,
wildtype,20221022,ramp,WTR5,5,27,
wildtype,20221022,ramp,WTR6,9,27,
wildtype,20221022,ramp,WTR7,9,27,
wildtype,20221022,ramp,WTR8,8,27,
wildtype,20221022,ramp,WTR9,9,27,
wildtype,20221022,ramp,WTR10,8,27,
ambient,20221022,control,AC1,11,33,
ambient,20221022,control,AC2,14,33,
ambient,20221022,control,AC3,13,33,
ambient,20221022,control,AC4,12,33,
heatwave,20221022,control,HC1,15,33,
heatwave,20221022,control,HC2,14,33,
heatwave,20221022,control,HC3,14,33,
heatwave,20221022,control,HC4,15,33,
heatwave,20221022,control,HC5,15,33,
heatwave,20221022,control,HC6,14,33,
heatwave,20221022,control,HC7,15,33,
heatwave,20221022,control,HC8,15,33,
heatwave,20221022,control,HC9,14,33,
heatwave,20221022,control,HC10,15,33,
wildtype,20221022,control,WTC1,11,33,
wildtype,20221022,control,WTC2,11,33,
wildtype,20221022,control,WTC3,11,33,
wildtype,20221022,control,WTC4,12,33,
wildtype,20221022,control,WTC5,14,33,
wildtype,20221022,control,WTC6,13,33,
wildtype,20221022,control,WTC7,14,33,
wildtype,20221022,control,WTC8,12,33,
wildtype,20221022,control,WTC9,12,33,
wildtype,20221022,control,WTC10,13,33,
ambient,20221022,ramp,AR1,7,33,
ambient,20221022,ramp,AR2,6,33,
ambient,20221022,ramp,AR3,3,33,
ambient,20221022,ramp,AR4,6,33,
heatwave,20221022,ramp,AR5,3,33,
heatwave,20221022,ramp,HR1,9,33,
heatwave,20221022,ramp,HR2,10,33,
heatwave,20221022,ramp,HR3,7,33,
heatwave,20221022,ramp,HR4,11,33,
heatwave,20221022,ramp,HR5,7,33,
heatwave,20221022,ramp,HR6,8,33,
heatwave,20221022,ramp,HR7,9,33,
heatwave,20221022,ramp,HR8,8,33,
heatwave,20221022,ramp,HR9,9,33,
wildtype,20221022,ramp,HR10,7,33,
wildtype,20221022,ramp,WTR1,4,33,
wildtype,20221022,ramp,WTR2,4,33,
wildtype,20221022,ramp,WTR3,2,33,
wildtype,20221022,ramp,WTR4,4,33,
wildtype,20221022,ramp,WTR5,3,33,
wildtype,20221022,ramp,WTR6,8,33,
wildtype,20221022,ramp,WTR7,8,33,
wildtype,20221022,ramp,WTR8,3,33,
wildtype,20221022,ramp,WTR9,8,33,
wildtype,20221022,ramp,WTR10,7,33,
ambient,20221022,control,AC1,11,39,
ambient,20221022,control,AC2,14,39,
ambient,20221022,control,AC3,13,39,
ambient,20221022,control,AC4,12,39,
heatwave,20221022,control,HC1,15,39,
heatwave,20221022,control,HC2,14,39,
heatwave,20221022,control,HC3,14,39,
heatwave,20221022,control,HC4,15,39,
heatwave,20221022,control,HC5,15,39,
heatwave,20221022,control,HC6,14,39,
heatwave,20221022,control,HC7,15,39,
heatwave,20221022,control,HC8,15,39,
heatwave,20221022,control,HC9,14,39,
heatwave,20221022,control,HC10,15,39,
wildtype,20221022,control,WTC1,11,39,
wildtype,20221022,control,WTC2,11,39,
wildtype,20221022,control,WTC3,11,39,
wildtype,20221022,control,WTC4,12,39,
wildtype,20221022,control,WTC5,14,39,
wildtype,20221022,control,WTC6,13,39,
wildtype,20221022,control,WTC7,14,39,
wildtype,20221022,control,WTC8,12,39,
wildtype,20221022,control,WTC9,12,39,
wildtype,20221022,control,WTC10,13,39,
ambient,20221022,ramp,AR1,7,39,
ambient,20221022,ramp,AR2,5,39,
ambient,20221022,ramp,AR3,3,39,
ambient,20221022,ramp,AR4,3,39,
heatwave,20221022,ramp,AR5,2,39,
heatwave,20221022,ramp,HR1,6,39,
heatwave,20221022,ramp,HR2,5,39,
heatwave,20221022,ramp,HR3,5,39,
heatwave,20221022,ramp,HR4,4,39,
heatwave,20221022,ramp,HR5,4,39,
heatwave,20221022,ramp,HR6,6,39,
heatwave,20221022,ramp,HR7,8,39,
heatwave,20221022,ramp,HR8,8,39,
heatwave,20221022,ramp,HR9,4,39,
wildtype,20221022,ramp,HR10,5,39,
wildtype,20221022,ramp,WTR1,4,39,
wildtype,20221022,ramp,WTR2,4,39,
wildtype,20221022,ramp,WTR3,0,39,
wildtype,20221022,ramp,WTR4,1,39,
wildtype,20221022,ramp,WTR5,1,39,
wildtype,20221022,ramp,WTR6,4,39,
wildtype,20221022,ramp,WTR7,8,39,
wildtype,20221022,ramp,WTR8,3,39,
wildtype,20221022,ramp,WTR9,3,39,
wildtype,20221022,ramp,WTR10,5,39,
ambient,20221022,control,AC1,11,45,
ambient,20221022,control,AC2,14,45,
ambient,20221022,control,AC3,13,45,
ambient,20221022,control,AC4,12,45,
heatwave,20221022,control,HC1,15,45,
heatwave,20221022,control,HC2,14,45,
heatwave,20221022,control,HC3,14,45,
heatwave,20221022,control,HC4,15,45,
heatwave,20221022,control,HC5,15,45,
heatwave,20221022,control,HC6,14,45,
heatwave,20221022,control,HC7,15,45,
heatwave,20221022,control,HC8,15,45,
heatwave,20221022,control,HC9,14,45,
heatwave,20221022,control,HC10,15,45,
wildtype,20221022,control,WTC1,11,45,
wildtype,20221022,control,WTC2,11,45,
wildtype,20221022,control,WTC3,11,45,
wildtype,20221022,control,WTC4,12,45,
wildtype,20221022,control,WTC5,14,45,
wildtype,20221022,control,WTC6,13,45,
wildtype,20221022,control,WTC7,14,45,
wildtype,20221022,control,WTC8,12,45,
wildtype,20221022,control,WTC9,12,45,
wildtype,20221022,control,WTC10,13,45,
ambient,20221022,ramp,AR1,3,45,
ambient,20221022,ramp,AR2,4,45,
ambient,20221022,ramp,AR3,1,45,
ambient,20221022,ramp,AR4,3,45,
heatwave,20221022,ramp,AR5,2,45,
heatwave,20221022,ramp,HR1,4,45,
heatwave,20221022,ramp,HR2,2,45,
heatwave,20221022,ramp,HR3,3,45,
heatwave,20221022,ramp,HR4,3,45,
heatwave,20221022,ramp,HR5,3,45,
heatwave,20221022,ramp,HR6,3,45,
heatwave,20221022,ramp,HR7,2,45,
heatwave,20221022,ramp,HR8,0,45,
heatwave,20221022,ramp,HR9,1,45,
wildtype,20221022,ramp,HR10,1,45,
wildtype,20221022,ramp,WTR1,2,45,
wildtype,20221022,ramp,WTR2,3,45,
wildtype,20221022,ramp,WTR3,0,45,
wildtype,20221022,ramp,WTR4,0,45,
wildtype,20221022,ramp,WTR5,1,45,
wildtype,20221022,ramp,WTR6,2,45,
wildtype,20221022,ramp,WTR7,7,45,
wildtype,20221022,ramp,WTR8,2,45,
wildtype,20221022,ramp,WTR9,3,45,
wildtype,20221022,ramp,WTR10,3,45,
ambient,20221022,control,AC1,11,51,
ambient,20221022,control,AC2,13,51,
ambient,20221022,control,AC3,13,51,
ambient,20221022,control,AC4,12,51,
heatwave,20221022,control,HC1,15,51,
heatwave,20221022,control,HC2,14,51,
heatwave,20221022,control,HC3,14,51,
heatwave,20221022,control,HC4,15,51,
heatwave,20221022,control,HC5,14,51,
heatwave,20221022,control,HC6,14,51,
heatwave,20221022,control,HC7,15,51,
heatwave,20221022,control,HC8,15,51,
heatwave,20221022,control,HC9,14,51,
heatwave,20221022,control,HC10,15,51,
wildtype,20221022,control,WTC1,11,51,
wildtype,20221022,control,WTC2,11,51,
wildtype,20221022,control,WTC3,11,51,
wildtype,20221022,control,WTC4,12,51,
wildtype,20221022,control,WTC5,14,51,
wildtype,20221022,control,WTC6,13,51,
wildtype,20221022,control,WTC7,13,51,
wildtype,20221022,control,WTC8,12,51,
wildtype,20221022,control,WTC9,12,51,
wildtype,20221022,control,WTC10,13,51,
ambient,20221022,ramp,AR1,1,51,
ambient,20221022,ramp,AR2,1,51,
ambient,20221022,ramp,AR3,0,51,
ambient,20221022,ramp,AR4,1,51,
heatwave,20221022,ramp,AR5,1,51,
heatwave,20221022,ramp,HR1,2,51,
heatwave,20221022,ramp,HR2,1,51,
heatwave,20221022,ramp,HR3,3,51,
heatwave,20221022,ramp,HR4,1,51,
heatwave,20221022,ramp,HR5,1,51,
heatwave,20221022,ramp,HR6,1,51,
heatwave,20221022,ramp,HR7,1,51,
heatwave,20221022,ramp,HR8,0,51,
heatwave,20221022,ramp,HR9,0,51,
wildtype,20221022,ramp,HR10,1,51,
wildtype,20221022,ramp,WTR1,0,51,
wildtype,20221022,ramp,WTR2,1,51,
wildtype,20221022,ramp,WTR3,0,51,
wildtype,20221022,ramp,WTR4,0,51,
wildtype,20221022,ramp,WTR5,0,51,
wildtype,20221022,ramp,WTR6,0,51,
wildtype,20221022,ramp,WTR7,3,51,
wildtype,20221022,ramp,WTR8,1,51,
wildtype,20221022,ramp,WTR9,1,51,
wildtype,20221022,ramp,WTR10,1,51,
