history,cohort.date,treatment,vial,larvae,timepoint
ambient,20221023,ramp,AR3,13,6
ambient,20221023,ramp,AR4,13,6
ambient,20221023,ramp,AR5,12,6
ambient,20221023,ramp,AR6,15,6
ambient,20221023,ramp,AR7,13,6
ambient,20221023,ramp,AR8,14,6
ambient,20221023,ramp,AR9,13,6
ambient,20221023,ramp,AR10,15,6
heatwave,20221023,ramp,HR1,15,6
heatwave,20221023,ramp,HR2,15,6
heatwave,20221023,ramp,HR3,15,6
heatwave,20221023,ramp,HR4,14,6
heatwave,20221023,ramp,HR5,14,6
heatwave,20221023,ramp,HR6,15,6
heatwave,20221023,ramp,HR7,14,6
heatwave,20221023,ramp,HR8,12,6
heatwave,20221023,ramp,HR9,15,6
wildtype,20221023,ramp,HR10,15,6
wildtype,20221023,ramp,WTR1,15,6
wildtype,20221023,ramp,WTR2,13,6
wildtype,20221023,ramp,WTR3,15,6
wildtype,20221023,ramp,WTR4,14,6
wildtype,20221023,ramp,WTR5,15,6
wildtype,20221023,ramp,WTR6,13,6
wildtype,20221023,ramp,WTR7,13,6
wildtype,20221023,ramp,WTR8,12,6
wildtype,20221023,ramp,WTR9,14,6
wildtype,20221023,ramp,WTR10,12,6
ambient,20221023,control,AC1,15,12
ambient,20221023,control,AC2,15,12
ambient,20221023,control,AC3,15,12
ambient,20221023,control,AC4,13,12
ambient,20221023,control,AC5,14,12
ambient,20221023,control,AC6,14,12
ambient,20221023,control,AC7,14,12
ambient,20221023,control,AC8,15,12
ambient,20221023,control,AC9,13,12
ambient,20221023,control,AC10,14,12
wildtype,20221023,control,WTC1,15,12
wildtype,20221023,control,WTC2,11,12
wildtype,20221023,control,WTC3,11,12
wildtype,20221023,control,WTC4,13,12
wildtype,20221023,control,WTC5,14,12
wildtype,20221023,control,WTC6,10,12
wildtype,20221023,control,WTC7,12,12
wildtype,20221023,control,WTC8,14,12
wildtype,20221023,control,WTC9,15,12
wildtype,20221023,control,WTC10,13,12
heatwave,20221023,control,HC1,15,12
heatwave,20221023,control,HC2,14,12
heatwave,20221023,control,HC3,15,12
heatwave,20221023,control,HC4,14,12
heatwave,20221023,control,HC5,13,12
heatwave,20221023,control,HC6,13,12
heatwave,20221023,control,HC7,13,12
heatwave,20221023,control,HC8,15,12
heatwave,20221023,control,HC9,14,12
heatwave,20221023,control,HC10,14,12
ambient,20221023,ramp,AR1,12,12
ambient,20221023,ramp,AR2,9,12
ambient,20221023,ramp,AR3,12,12
ambient,20221023,ramp,AR4,11,12
ambient,20221023,ramp,AR5,11,12
ambient,20221023,ramp,AR6,14,12
ambient,20221023,ramp,AR7,14,12
ambient,20221023,ramp,AR8,14,12
ambient,20221023,ramp,AR9,13,12
ambient,20221023,ramp,AR10,11,12
heatwave,20221023,ramp,HR1,15,12
heatwave,20221023,ramp,HR2,14,12
heatwave,20221023,ramp,HR3,15,12
heatwave,20221023,ramp,HR4,15,12
heatwave,20221023,ramp,HR5,15,12
heatwave,20221023,ramp,HR6,11,12
heatwave,20221023,ramp,HR7,13,12
heatwave,20221023,ramp,HR8,12,12
heatwave,20221023,ramp,HR9,13,12
wildtype,20221023,ramp,HR10,11,12
wildtype,20221023,ramp,WTR1,13,12
wildtype,20221023,ramp,WTR2,12,12
wildtype,20221023,ramp,WTR3,11,12
wildtype,20221023,ramp,WTR4,12,12
wildtype,20221023,ramp,WTR5,10,12
wildtype,20221023,ramp,WTR6,11,12
wildtype,20221023,ramp,WTR7,10,12
wildtype,20221023,ramp,WTR8,9,12
wildtype,20221023,ramp,WTR9,11,12
wildtype,20221023,ramp,WTR10,11,12
ambient,20221023,control,AC1,14,21
ambient,20221023,control,AC2,15,21
ambient,20221023,control,AC3,15,21
ambient,20221023,control,AC4,12,21
ambient,20221023,control,AC5,14,21
ambient,20221023,control,AC6,14,21
ambient,20221023,control,AC7,14,21
ambient,20221023,control,AC8,14,21
ambient,20221023,control,AC9,11,21
ambient,20221023,control,AC10,14,21
wildtype,20221023,control,WTC1,14,21
wildtype,20221023,control,WTC2,10,21
wildtype,20221023,control,WTC3,10,21
wildtype,20221023,control,WTC4,11,21
wildtype,20221023,control,WTC5,10,21
wildtype,20221023,control,WTC6,10,21
wildtype,20221023,control,WTC7,10,21
wildtype,20221023,control,WTC8,13,21
wildtype,20221023,control,WTC9,12,21
wildtype,20221023,control,WTC10,14,21
heatwave,20221023,control,HC1,14,21
heatwave,20221023,control,HC2,13,21
heatwave,20221023,control,HC3,15,21
heatwave,20221023,control,HC4,15,21
heatwave,20221023,control,HC5,13,21
heatwave,20221023,control,HC6,12,21
heatwave,20221023,control,HC7,14,21
heatwave,20221023,control,HC8,15,21
heatwave,20221023,control,HC9,13,21
heatwave,20221023,control,HC10,12,21
ambient,20221023,ramp,AR1,9,21
ambient,20221023,ramp,AR2,6,21
ambient,20221023,ramp,AR3,8,21
ambient,20221023,ramp,AR4,8,21
ambient,20221023,ramp,AR5,10,21
ambient,20221023,ramp,AR6,11,21
ambient,20221023,ramp,AR7,10,21
ambient,20221023,ramp,AR8,12,21
ambient,20221023,ramp,AR9,10,21
ambient,20221023,ramp,AR10,9,21
heatwave,20221023,ramp,HR1,15,21
heatwave,20221023,ramp,HR2,15,21
heatwave,20221023,ramp,HR3,13,21
heatwave,20221023,ramp,HR4,10,21
heatwave,20221023,ramp,HR5,11,21
heatwave,20221023,ramp,HR6,10,21
heatwave,20221023,ramp,HR7,12,21
heatwave,20221023,ramp,HR8,10,21
heatwave,20221023,ramp,HR9,13,21
wildtype,20221023,ramp,HR10,14,21
wildtype,20221023,ramp,WTR1,11,21
wildtype,20221023,ramp,WTR2,7,21
wildtype,20221023,ramp,WTR3,7,21
wildtype,20221023,ramp,WTR4,11,21
wildtype,20221023,ramp,WTR5,7,21
wildtype,20221023,ramp,WTR6,7,21
wildtype,20221023,ramp,WTR7,8,21
wildtype,20221023,ramp,WTR8,8,21
wildtype,20221023,ramp,WTR9,7,21
wildtype,20221023,ramp,WTR10,7,21
ambient,20221023,control,AC1,14,27
ambient,20221023,control,AC2,15,27
ambient,20221023,control,AC3,15,27
ambient,20221023,control,AC4,12,27
ambient,20221023,control,AC5,14,27
ambient,20221023,control,AC6,14,27
ambient,20221023,control,AC7,14,27
ambient,20221023,control,AC8,14,27
ambient,20221023,control,AC9,11,27
ambient,20221023,control,AC10,14,27
wildtype,20221023,control,WTC1,14,27
wildtype,20221023,control,WTC2,10,27
wildtype,20221023,control,WTC3,10,27
wildtype,20221023,control,WTC4,11,27
wildtype,20221023,control,WTC5,10,27
wildtype,20221023,control,WTC6,10,27
wildtype,20221023,control,WTC7,10,27
wildtype,20221023,control,WTC8,13,27
wildtype,20221023,control,WTC9,12,27
wildtype,20221023,control,WTC10,14,27
heatwave,20221023,control,HC1,14,27
heatwave,20221023,control,HC2,13,27
heatwave,20221023,control,HC3,15,27
heatwave,20221023,control,HC4,15,27
heatwave,20221023,control,HC5,13,27
heatwave,20221023,control,HC6,12,27
heatwave,20221023,control,HC7,14,27
heatwave,20221023,control,HC8,15,27
heatwave,20221023,control,HC9,13,27
heatwave,20221023,control,HC10,12,27
ambient,20221023,ramp,AR1,4,27
ambient,20221023,ramp,AR2,5,27
ambient,20221023,ramp,AR3,6,27
ambient,20221023,ramp,AR4,6,27
ambient,20221023,ramp,AR5,7,27
ambient,20221023,ramp,AR6,4,27
ambient,20221023,ramp,AR7,8,27
ambient,20221023,ramp,AR8,7,27
ambient,20221023,ramp,AR9,8,27
ambient,20221023,ramp,AR10,10,27
heatwave,20221023,ramp,HR1,14,27
heatwave,20221023,ramp,HR2,10,27
heatwave,20221023,ramp,HR3,10,27
heatwave,20221023,ramp,HR4,4,27
heatwave,20221023,ramp,HR5,8,27
heatwave,20221023,ramp,HR6,6,27
heatwave,20221023,ramp,HR7,11,27
heatwave,20221023,ramp,HR8,9,27
heatwave,20221023,ramp,HR9,12,27
wildtype,20221023,ramp,HR10,13,27
wildtype,20221023,ramp,WTR1,7,27
wildtype,20221023,ramp,WTR2,3,27
wildtype,20221023,ramp,WTR3,7,27
wildtype,20221023,ramp,WTR4,9,27
wildtype,20221023,ramp,WTR5,6,27
wildtype,20221023,ramp,WTR6,1,27
wildtype,20221023,ramp,WTR7,6,27
wildtype,20221023,ramp,WTR8,5,27
wildtype,20221023,ramp,WTR9,4,27
wildtype,20221023,ramp,WTR10,5,27
ambient,20221023,control,AC1,15,33
ambient,20221023,control,AC2,15,33
ambient,20221023,control,AC3,13,33
ambient,20221023,control,AC4,12,33
ambient,20221023,control,AC5,14,33
ambient,20221023,control,AC6,15,33
ambient,20221023,control,AC7,14,33
ambient,20221023,control,AC8,14,33
ambient,20221023,control,AC9,11,33
ambient,20221023,control,AC10,14,33
wildtype,20221023,control,WTC1,12,33
wildtype,20221023,control,WTC2,10,33
wildtype,20221023,control,WTC3,10,33
wildtype,20221023,control,WTC4,11,33
wildtype,20221023,control,WTC5,10,33
wildtype,20221023,control,WTC6,10,33
wildtype,20221023,control,WTC7,10,33
wildtype,20221023,control,WTC8,13,33
wildtype,20221023,control,WTC9,12,33
wildtype,20221023,control,WTC10,14,33
heatwave,20221023,control,HC1,14,33
heatwave,20221023,control,HC2,13,33
heatwave,20221023,control,HC3,15,33
heatwave,20221023,control,HC4,15,33
heatwave,20221023,control,HC5,13,33
heatwave,20221023,control,HC6,12,33
heatwave,20221023,control,HC7,14,33
heatwave,20221023,control,HC8,15,33
heatwave,20221023,control,HC9,13,33
heatwave,20221023,control,HC10,10,33
ambient,20221023,ramp,AR1,3,33
ambient,20221023,ramp,AR2,3,33
ambient,20221023,ramp,AR3,6,33
ambient,20221023,ramp,AR4,4,33
ambient,20221023,ramp,AR5,4,33
ambient,20221023,ramp,AR6,3,33
ambient,20221023,ramp,AR7,8,33
ambient,20221023,ramp,AR8,5,33
ambient,20221023,ramp,AR9,7,33
ambient,20221023,ramp,AR10,7,33
heatwave,20221023,ramp,HR1,13,33
heatwave,20221023,ramp,HR2,10,33
heatwave,20221023,ramp,HR3,10,33
heatwave,20221023,ramp,HR4,3,33
heatwave,20221023,ramp,HR5,7,33
heatwave,20221023,ramp,HR6,6,33
heatwave,20221023,ramp,HR7,11,33
heatwave,20221023,ramp,HR8,7,33
heatwave,20221023,ramp,HR9,11,33
wildtype,20221023,ramp,HR10,6,33
wildtype,20221023,ramp,WTR1,4,33
wildtype,20221023,ramp,WTR2,2,33
wildtype,20221023,ramp,WTR3,3,33
wildtype,20221023,ramp,WTR4,6,33
wildtype,20221023,ramp,WTR5,4,33
wildtype,20221023,ramp,WTR6,1,33
wildtype,20221023,ramp,WTR7,3,33
wildtype,20221023,ramp,WTR8,1,33
wildtype,20221023,ramp,WTR9,2,33
wildtype,20221023,ramp,WTR10,2,33
ambient,20221023,control,AC1,14,39
ambient,20221023,control,AC2,13,39
ambient,20221023,control,AC3,13,39
ambient,20221023,control,AC4,14,39
ambient,20221023,control,AC5,13,39
ambient,20221023,control,AC6,15,39
ambient,20221023,control,AC7,14,39
ambient,20221023,control,AC8,14,39
ambient,20221023,control,AC9,11,39
ambient,20221023,control,AC10,14,39
wildtype,20221023,control,WTC1,12,39
wildtype,20221023,control,WTC2,10,39
wildtype,20221023,control,WTC3,10,39
wildtype,20221023,control,WTC4,11,39
wildtype,20221023,control,WTC5,10,39
wildtype,20221023,control,WTC6,10,39
wildtype,20221023,control,WTC7,10,39
wildtype,20221023,control,WTC8,13,39
wildtype,20221023,control,WTC9,12,39
wildtype,20221023,control,WTC10,14,39
heatwave,20221023,control,HC1,13,39
heatwave,20221023,control,HC2,13,39
heatwave,20221023,control,HC3,14,39
heatwave,20221023,control,HC4,14,39
heatwave,20221023,control,HC5,13,39
heatwave,20221023,control,HC6,12,39
heatwave,20221023,control,HC7,14,39
heatwave,20221023,control,HC8,14,39
heatwave,20221023,control,HC9,13,39
heatwave,20221023,control,HC10,10,39
ambient,20221023,ramp,AR1,1,39
ambient,20221023,ramp,AR2,0,39
ambient,20221023,ramp,AR3,2,39
ambient,20221023,ramp,AR4,1,39
ambient,20221023,ramp,AR5,2,39
ambient,20221023,ramp,AR6,2,39
ambient,20221023,ramp,AR7,5,39
ambient,20221023,ramp,AR8,2,39
ambient,20221023,ramp,AR9,6,39
ambient,20221023,ramp,AR10,6,39
heatwave,20221023,ramp,HR1,9,39
heatwave,20221023,ramp,HR2,6,39
heatwave,20221023,ramp,HR3,7,39
heatwave,20221023,ramp,HR4,3,39
heatwave,20221023,ramp,HR5,2,39
heatwave,20221023,ramp,HR6,2,39
heatwave,20221023,ramp,HR7,8,39
heatwave,20221023,ramp,HR8,5,39
heatwave,20221023,ramp,HR9,10,39
wildtype,20221023,ramp,HR10,7,39
wildtype,20221023,ramp,WTR1,2,39
wildtype,20221023,ramp,WTR2,2,39
wildtype,20221023,ramp,WTR3,2,39
wildtype,20221023,ramp,WTR4,1,39
wildtype,20221023,ramp,WTR5,4,39
wildtype,20221023,ramp,WTR6,0,39
wildtype,20221023,ramp,WTR7,2,39
wildtype,20221023,ramp,WTR8,0,39
wildtype,20221023,ramp,WTR9,0,39
wildtype,20221023,ramp,WTR10,2,39
ambient,20221023,control,AC1,14,45
ambient,20221023,control,AC2,15,45
ambient,20221023,control,AC3,15,45
ambient,20221023,control,AC4,12,45
ambient,20221023,control,AC5,14,45
ambient,20221023,control,AC6,14,45
ambient,20221023,control,AC7,14,45
ambient,20221023,control,AC8,14,45
ambient,20221023,control,AC9,11,45
ambient,20221023,control,AC10,14,45
wildtype,20221023,control,WTC1,14,45
wildtype,20221023,control,WTC2,10,45
wildtype,20221023,control,WTC3,10,45
wildtype,20221023,control,WTC4,11,45
wildtype,20221023,control,WTC5,10,45
wildtype,20221023,control,WTC6,10,45
wildtype,20221023,control,WTC7,10,45
wildtype,20221023,control,WTC8,13,45
wildtype,20221023,control,WTC9,12,45
wildtype,20221023,control,WTC10,14,45
heatwave,20221023,control,HC1,14,45
heatwave,20221023,control,HC2,13,45
heatwave,20221023,control,HC3,15,45
heatwave,20221023,control,HC4,15,45
heatwave,20221023,control,HC5,13,45
heatwave,20221023,control,HC6,13,45
heatwave,20221023,control,HC7,14,45
heatwave,20221023,control,HC8,15,45
heatwave,20221023,control,HC9,13,45
heatwave,20221023,control,HC10,12,45
ambient,20221023,ramp,AR1,0,45
ambient,20221023,ramp,AR2,0,45
ambient,20221023,ramp,AR3,2,45
ambient,20221023,ramp,AR4,0,45
ambient,20221023,ramp,AR5,2,45
ambient,20221023,ramp,AR6,1,45
ambient,20221023,ramp,AR7,3,45
ambient,20221023,ramp,AR8,2,45
ambient,20221023,ramp,AR9,2,45
ambient,20221023,ramp,AR10,4,45
heatwave,20221023,ramp,HR1,5,45
heatwave,20221023,ramp,HR2,4,45
heatwave,20221023,ramp,HR3,8,45
heatwave,20221023,ramp,HR4,2,45
heatwave,20221023,ramp,HR5,1,45
heatwave,20221023,ramp,HR6,0,45
heatwave,20221023,ramp,HR7,7,45
heatwave,20221023,ramp,HR8,4,45
heatwave,20221023,ramp,HR9,9,45
wildtype,20221023,ramp,HR10,5,45
wildtype,20221023,ramp,WTR1,2,45
wildtype,20221023,ramp,WTR2,1,45
wildtype,20221023,ramp,WTR3,1,45
wildtype,20221023,ramp,WTR4,1,45
wildtype,20221023,ramp,WTR5,3,45
wildtype,20221023,ramp,WTR6,0,45
wildtype,20221023,ramp,WTR7,2,45
wildtype,20221023,ramp,WTR8,0,45
wildtype,20221023,ramp,WTR9,0,45
wildtype,20221023,ramp,WTR10,1,45
ambient,20221023,control,AC1,14,51
ambient,20221023,control,AC2,11,51
ambient,20221023,control,AC3,15,51
ambient,20221023,control,AC4,12,51
ambient,20221023,control,AC5,13,51
ambient,20221023,control,AC6,15,51
ambient,20221023,control,AC7,12,51
ambient,20221023,control,AC8,14,51
ambient,20221023,control,AC9,15,51
ambient,20221023,control,AC10,14,51
wildtype,20221023,control,WTC1,12,51
wildtype,20221023,control,WTC2,10,51
wildtype,20221023,control,WTC3,10,51
wildtype,20221023,control,WTC4,11,51
wildtype,20221023,control,WTC5,12,51
wildtype,20221023,control,WTC6,10,51
wildtype,20221023,control,WTC7,10,51
wildtype,20221023,control,WTC8,13,51
wildtype,20221023,control,WTC9,12,51
wildtype,20221023,control,WTC10,14,51
heatwave,20221023,control,HC1,15,51
heatwave,20221023,control,HC2,14,51
heatwave,20221023,control,HC3,14,51
heatwave,20221023,control,HC4,15,51
heatwave,20221023,control,HC5,13,51
heatwave,20221023,control,HC6,12,51
heatwave,20221023,control,HC7,14,51
heatwave,20221023,control,HC8,15,51
heatwave,20221023,control,HC9,13,51
heatwave,20221023,control,HC10,12,51
ambient,20221023,ramp,AR1,0,51
ambient,20221023,ramp,AR2,0,51
ambient,20221023,ramp,AR3,1,51
ambient,20221023,ramp,AR4,0,51
ambient,20221023,ramp,AR5,2,51
ambient,20221023,ramp,AR6,1,51
ambient,20221023,ramp,AR7,2,51
ambient,20221023,ramp,AR8,1,51
ambient,20221023,ramp,AR9,1,51
ambient,20221023,ramp,AR10,1,51
heatwave,20221023,ramp,HR1,5,51
heatwave,20221023,ramp,HR2,2,51
heatwave,20221023,ramp,HR3,5,51
heatwave,20221023,ramp,HR4,4,51
heatwave,20221023,ramp,HR5,0,51
heatwave,20221023,ramp,HR6,3,51
heatwave,20221023,ramp,HR7,6,51
heatwave,20221023,ramp,HR8,4,51
heatwave,20221023,ramp,HR9,7,51
wildtype,20221023,ramp,HR10,4,51
wildtype,20221023,ramp,WTR1,1,51
wildtype,20221023,ramp,WTR2,0,51
wildtype,20221023,ramp,WTR3,0,51
wildtype,20221023,ramp,WTR4,2,51
wildtype,20221023,ramp,WTR5,2,51
wildtype,20221023,ramp,WTR6,0,51
wildtype,20221023,ramp,WTR7,1,51
wildtype,20221023,ramp,WTR8,0,51
wildtype,20221023,ramp,WTR9,0,51
wildtype,20221023,ramp,WTR10,2,51
