Measurement Name :,20221030_SDR641_AMB_WT_COHORT1023,,Generated On :,"30/10/2022, 14:19:50",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
30.10.22 13:57:59,1.53,98.67,101.03,91.37,91.92,93.94,97.21,91.07,90.99,100.75,90.62,86.13,92.68,96,90.95,99.7,81.91,88.87,90.51,86.09,88.64,89.57,96.72,88.16,72.15,,27,965,36,26.04,
30.10.22 13:58:14,1.78,98.67,100.88,91.37,91.46,93.79,96.63,90.78,90.7,101.05,90.33,86.13,92.82,95.85,90.81,99.85,81.35,88.87,90.07,86.09,88.49,89.28,96.57,87.87,71.88,,27,965,36,26.05,
30.10.22 13:58:29,2.03,98.81,101.03,91.22,91.46,93.79,96.92,90.93,90.7,101.2,90.47,85.7,92.39,95.85,90.81,100,80.92,88.87,89.78,85.8,88.49,89.28,96.87,87.44,71.61,,27,965,36,26.07,
30.10.22 13:58:44,2.28,98.67,101.03,91.22,91.15,93.79,96.78,90.78,90.55,101.2,90.47,85.56,92.1,95.85,90.67,100,80.92,88.59,89.2,85.66,88.19,88.84,96.72,86.87,71.07,,27,965,36,26.08,
30.10.22 13:58:59,2.53,98.81,100.74,90.94,91,93.94,96.78,90.64,90.26,101.05,90.04,85.27,92.1,95.85,90.81,99.85,80.64,88.59,89.05,85.52,87.59,88.99,96.57,87.01,70.94,,27,965,36,26.1,
30.10.22 13:59:14,2.78,98.67,100.88,90.94,90.69,93.79,96.49,90.64,89.82,101.05,90.04,85.13,91.95,95.7,90.52,100,80.22,88.45,88.76,85.24,87.29,88.56,96.57,86.44,70.53,,27,965,36,26.1,
30.10.22 13:59:29,3.03,98.96,100.88,90.79,90.54,93.79,96.63,90.49,89.97,101.5,89.9,85.13,91.81,95.85,90.52,100.15,80.08,88.16,88.33,85.38,87.14,88.27,96.72,86.44,70.27,,27,965,36,26.11,
30.10.22 13:59:44,3.28,98.67,100.74,90.65,90.23,93.21,96.34,90.49,89.68,101.35,89.75,84.7,91.67,95.85,90.24,99.85,79.66,87.88,88.18,84.95,86.84,87.84,96.28,86.02,70,,27,965,36,26.1,
30.10.22 13:59:59,3.53,98.81,100.88,90.65,90.23,93.5,96.63,90.35,89.82,101.5,89.61,84.85,91.81,95.7,90.09,100.15,79.8,87.88,88.18,84.95,86.39,87.69,96.42,86.16,69.73,,27,965,36,26.11,
30.10.22 14:00:14,3.78,98.81,100.74,90.5,90.08,92.92,96.34,90.06,89.68,101.35,89.47,84.7,91.67,95.55,89.95,100,79.39,87.74,87.6,84.67,86.09,87.26,96.42,85.73,69.33,,27,965,36,26.11,
30.10.22 14:00:29,4.03,98.52,100.88,90.5,89.77,92.62,96.05,90.06,89.53,101.35,89.32,84.42,91.38,95.85,90.09,100,78.97,87.6,87.17,84.53,85.64,87.12,96.28,85.45,68.8,,27,965,36,26.13,
30.10.22 14:00:44,4.28,98.52,100.74,90.36,89.62,92.77,96.05,90.06,89.24,101.5,88.89,83.99,91.38,95.55,89.95,99.85,78.55,87.46,86.88,84.11,85.19,86.83,96.28,85.16,68.53,,27,965,36,26.14,
30.10.22 14:00:59,4.53,98.52,100.88,90.07,89.47,92.77,95.9,89.77,89.53,101.65,89.18,83.99,91.23,95.7,89.95,100.15,78.27,87.46,86.45,83.83,85.19,86.83,96.28,84.73,68.13,,27,965,36,26.14,
30.10.22 14:01:14,4.78,98.37,100.59,89.93,88.86,92.77,96.05,89.77,89.24,101.5,88.89,83.14,90.95,95.26,89.66,99.85,78.13,87.03,85.87,82.98,84.89,86.54,96.13,84.31,67.74,,27,965,36,26.15,
30.10.22 14:01:29,5.03,98.37,100.88,90.07,89.01,92.77,95.9,89.63,89.39,101.65,88.75,83.14,90.66,95.7,89.52,99.7,77.85,87.17,85.44,82.84,84.44,86.4,95.98,84.17,67.47,,27,965,36,26.15,
30.10.22 14:01:44,5.28,98.22,100.59,89.78,88.71,92.77,95.61,89.34,88.95,101.35,88.32,82.72,90.51,95.41,89.38,99.85,77.99,86.89,84.57,82.56,84.29,85.97,95.98,83.6,67.07,,27,965,36,26.15,
30.10.22 14:01:59,5.53,98.22,100.74,89.64,88.4,92.48,95.18,89.06,88.81,101.05,88.03,82.29,90.08,95.11,89.38,99.7,77.85,86.75,84.14,82,84.15,85.54,95.68,83.32,66.68,,27,965,36,26.18,
30.10.22 14:02:14,5.78,98.07,100.59,89.5,88.25,92.33,95.47,89.34,88.95,101.35,88.17,82.15,89.65,95.11,89.23,99.55,77.85,86.61,83.43,81.58,83.55,85.4,95.83,83.04,66.15,,27,965,36,26.18,
30.10.22 14:02:29,6.03,98.22,100.44,89.35,88.1,92.04,95.61,89.2,88.81,101.2,88.03,82.01,89.37,95.11,89.09,99.7,77.71,86.61,83,81.44,83.1,85.11,95.83,82.75,66.01,,27,965,36,26.18,
30.10.22 14:02:44,6.28,97.93,100.29,89.07,87.19,92.04,95.32,88.77,88.52,101.35,88.03,81.73,89.37,95.11,88.8,99.55,77.44,86.33,82.29,81.02,82.81,84.97,95.68,82.47,65.62,,27,965,36,26.19,
30.10.22 14:02:59,6.53,97.93,100.44,89.07,87.34,91.75,95.18,88.91,88.52,101.5,87.74,81.59,89.08,94.82,88.95,99.7,77.16,86.19,81.72,80.74,82.51,84.54,95.68,82.33,65.36,,27,965,36,26.19,
30.10.22 14:03:14,6.78,98.07,100.59,89.07,87.19,91.61,95.32,88.77,88.23,101.5,87.74,81.59,88.79,94.97,88.66,99.7,77.3,85.9,81.43,80.47,82.66,84.4,95.68,82.33,64.96,,27,965,36,26.21,
30.10.22 14:03:29,7.03,97.93,100.29,88.78,86.73,91.61,94.74,88.34,88.09,101.5,87.74,81.45,88.51,94.82,88.52,99.41,77.02,85.76,80.44,80.19,82.07,84.12,95.54,82.05,64.7,,27,965,36,26.22,
30.10.22 14:03:44,7.28,97.78,100.15,88.64,86.13,91.32,94.89,88.34,87.94,101.35,87.46,81.31,88.36,94.82,88.38,99.26,77.02,85.76,79.87,80.05,81.92,83.69,95.39,81.77,64.17,,27,965,36,26.22,
30.10.22 14:03:59,7.53,97.48,100.15,88.5,85.83,91.17,94.74,87.91,87.65,101.2,87.46,81.17,88.22,94.53,88.23,99.41,76.61,85.34,78.89,79.77,81.47,83.69,95.24,81.63,63.65,,27,965,36,26.22,
30.10.22 14:04:14,7.78,97.34,100.15,88.21,85.37,91.17,94.45,87.91,87.51,101.35,87.17,80.88,88.08,94.53,87.81,99.26,76.47,85.06,78.32,79.63,81.47,83.27,95.24,81.21,63.52,,27,965,36,26.24,
30.10.22 14:04:29,8.03,97.34,100,88.21,85.37,91.02,94.45,87.48,87.51,101.35,87.03,80.74,87.79,94.53,87.66,99.41,76.47,84.92,77.76,79.35,81.03,82.84,95.24,80.78,63.12,,27,965,36,26.25,
30.10.22 14:04:44,8.28,97.19,100.15,88.07,85.07,90.73,94.16,87.63,87.22,101.05,86.89,80.6,87.37,94.53,87.52,99.41,75.78,84.64,77.34,78.94,80.74,82.7,95.24,80.5,62.73,,27,965,36,26.26,
30.10.22 14:04:59,8.53,97.19,100.15,87.92,84.62,90.3,94.02,87.48,86.65,101.5,86.46,80.46,87.22,94.38,87.52,99.41,75.09,84.08,77.06,78.8,80.44,82.28,94.95,80.22,62.73,,27,965,36,26.26,
30.10.22 14:05:14,8.78,97.04,99.71,87.64,83.87,90.16,93.88,87.05,86.65,101.05,86.03,80.18,86.94,94.09,87.09,98.81,74.26,83.94,76.36,78.24,80.15,81.99,94.95,79.8,62.08,,27,965,36,26.26,
30.10.22 14:05:29,9.03,97.19,99.85,87.5,84.17,90.01,93.88,87.05,86.65,101.35,86.17,80.18,86.65,94.23,86.95,99.26,73.99,83.94,76.5,78.24,79.85,81.85,94.95,79.8,61.95,,27,965,36,26.26,
30.10.22 14:05:44,9.28,97.48,100,87.5,83.72,89.72,93.73,86.63,86.5,101.35,86.03,80.04,86.51,94.09,86.67,99.26,73.71,83.8,76.36,77.83,80,81.57,95.09,79.39,61.56,,27,965,36,26.28,
30.10.22 14:05:59,9.53,97.34,99.56,87.35,83.42,89.14,93.3,86.2,86.36,101.2,85.74,79.76,86.37,93.94,86.38,98.96,73.44,83.24,76.08,77.28,79.56,81.01,94.8,78.83,61.17,,27,965,36,26.29,
30.10.22 14:06:14,9.78,97.34,99.85,87.35,83.42,89.14,93.44,86.2,86.07,101.2,85.6,79.62,86.09,94.09,86.1,99.11,73.03,82.69,75.94,77.28,79.41,81.01,94.65,78.41,61.04,,27,965,36,26.28,
30.10.22 14:06:29,10.03,97.19,99.56,87.21,82.67,88.71,93.01,85.77,86.07,101.05,85.46,79.62,85.95,93.94,85.82,98.81,72.89,82.27,75.52,77,79.41,80.58,94.65,77.85,60.52,,27,965,36,26.29,
30.10.22 14:06:44,10.28,96.89,99.41,86.78,82.22,88.71,93.01,85.49,85.78,101.05,85.18,79.06,86.09,93.65,85.68,99.11,72.62,81.57,75.38,76.59,78.97,80.16,94.65,77.58,60.13,,27,965,36,26.29,
30.10.22 14:06:59,10.53,96.89,99.26,86.78,82.07,88.28,92.87,84.78,85.5,101.05,85.18,79.06,85.52,93.5,85.25,98.52,72.34,81.16,75.1,76.31,78.68,79.74,94.36,77.16,59.74,,27,965,36,26.29,
30.10.22 14:07:14,10.78,96.89,99.26,86.64,81.63,87.99,92.58,84.5,85.5,101.05,84.75,78.78,85.24,93.5,84.97,98.67,72.07,80.6,74.68,75.76,78.38,79.32,94.36,77.02,59.23,,27,965,36,26.3,
30.10.22 14:07:29,11.03,96.89,99.41,86.64,81.18,88.14,92.43,84.22,85.21,101.05,84.47,78.78,85.24,93.5,84.41,98.52,71.93,80.05,74.55,75.63,78.09,79.04,94.21,76.74,59.23,,27,965,36,26.3,
30.10.22 14:07:44,11.28,96.75,99.26,86.5,81.03,87.42,92.29,83.93,85.21,101.05,84.89,78.64,84.95,93.35,83.7,98.52,71.93,79.22,74.55,74.94,77.65,78.62,94.06,76.33,58.97,,27,965,36,26.32,
30.10.22 14:07:59,11.53,96.6,99.26,86.21,80.29,87.27,92.43,83.37,84.93,101.05,84.47,78.09,84.67,93.06,82.86,98.37,71.66,78.4,74.27,74.26,77.36,78.48,94.21,75.5,58.45,,27,965,36,26.32,
30.10.22 14:08:14,11.78,96.6,99.26,85.93,80.14,86.84,92.15,82.95,84.78,101.05,84.47,78.09,84.53,93.06,82.3,98.67,71.53,78.26,74.27,73.71,77.07,78.06,94.06,74.95,58.2,,27,965,36,26.33,
30.10.22 14:08:29,12.03,96.6,98.97,85.65,79.84,86.84,91.72,82.67,84.64,100.9,84.18,77.67,84.25,92.92,81.6,98.37,71.39,77.99,74.13,73.44,76.49,77.51,93.62,74.54,57.94,,27,965,36,26.33,
30.10.22 14:08:44,12.28,96.75,99.26,85.36,79.25,86.7,91.29,82.53,84.5,100.9,83.9,77.39,83.97,92.77,81.18,98.52,71.25,77.58,73.85,73.03,76.2,77.23,93.77,74.4,57.55,,27,965,36,26.35,
30.10.22 14:08:59,12.53,96.6,99.12,85.51,79.1,86.56,90.86,81.96,84.35,101.05,84.18,77.39,83.97,92.77,80.62,98.52,71.39,77.44,73.02,72.76,75.76,76.81,93.62,73.85,57.04,,27,965,36,26.35,
30.10.22 14:09:14,12.78,96.6,98.82,84.94,78.51,86.13,90.14,81.26,83.78,100.6,83.48,76.7,83.54,92.33,80.07,98.08,70.85,76.89,72.05,72.35,75.03,76.39,93.33,73.16,56.53,,27,965,36,26.36,
30.10.22 14:09:29,13.03,96.45,98.68,84.94,78.07,85.99,90.29,80.98,83.64,100.6,83.34,76.7,83.26,92.19,79.79,97.93,70.85,76.48,71.64,72.22,74.6,75.7,93.18,72.75,56.14,,27,965,36,26.36,
30.10.22 14:09:44,13.28,96.75,98.68,84.8,77.62,85.99,90.14,80.56,83.64,101.05,83.76,76.7,83.26,92.33,79.65,98.37,70.57,76.35,71.5,71.94,74.31,75.84,93.18,72.48,55.89,,27,965,36,26.36,
30.10.22 14:09:59,13.53,96.6,98.68,84.23,76.89,85.99,89.86,79.87,83.5,100.9,83.34,76,82.98,92.19,79.1,98.08,70.17,76.07,71.22,71.54,73.44,75.56,93.18,71.8,55.38,,27,965,36,26.38,
30.10.22 14:10:14,13.78,96.75,98.68,84.09,76.74,85.7,89.72,79.31,83.21,101.05,82.91,75.86,82.7,92.04,78.96,98.08,69.76,75.8,70.81,71.27,73.01,75.28,92.89,71.66,55,,27,965,36,26.36,
30.10.22 14:10:30,14.05,96.6,98.53,83.81,76.15,85.7,89.43,78.89,82.93,100.75,83.05,75.45,82.56,92.04,78.27,97.78,69.62,75.66,70.95,71,72.29,74.87,92.45,71.12,54.61,,27,965,36,26.38,
30.10.22 14:10:45,14.3,96.31,98.53,83.67,76.01,85.7,89.43,78.48,82.65,100.9,82.77,75.31,82.42,91.9,77.85,97.93,69.22,75.26,70.81,70.86,71.86,74.59,92.74,70.57,54.36,,27,965,36,26.39,
30.10.22 14:11:00,14.55,96.01,98.38,83.53,75.57,85.42,89.15,77.92,82.22,100.75,82.77,75.03,82.42,91.75,77.44,97.78,69.22,74.99,70.4,70.46,71.57,74.46,92.3,70.44,53.98,,27,965,36,26.4,
30.10.22 14:11:15,14.8,95.87,98.38,83.39,75.57,85.42,89,77.78,82.08,101.05,82.49,74.76,81.86,91.61,77.03,97.93,69.08,74.99,70.4,69.78,70.57,74.32,92.3,70.3,53.85,,27,965,36,26.4,
30.10.22 14:11:30,15.05,95.57,98.09,83.11,74.84,85.13,88.72,77.51,81.79,100.6,82.35,74.62,81.44,91.61,76.34,97.63,68.68,74.31,69.85,69.51,70,73.77,92.3,69.62,53.22,,27,965,36,26.41,
30.10.22 14:11:45,15.3,95.43,98.38,82.82,74.69,84.85,88.29,77.23,81.51,100.75,82.07,74.07,81.3,91.46,75.93,97.49,68.27,74.31,69.58,69.11,69.57,73.35,91.86,69.22,52.84,,27,965,36,26.41,
30.10.22 14:12:00,15.55,95.43,98.24,82.82,74.4,84.7,88.29,76.95,81.37,100.9,82.21,74.07,81.3,91.32,75.51,97.63,68.14,74.04,69.3,68.98,69.14,73.22,91.86,68.81,52.84,,27,965,36,26.4,
30.10.22 14:12:15,15.8,95.43,98.24,82.68,73.52,84.28,88.15,76.54,81.23,100.75,81.93,73.66,80.88,91.02,75.1,97.34,68,73.36,69.03,68.57,68.57,72.81,91.57,68.27,52.21,,27,965,36,26.43,
30.10.22 14:12:30,16.05,94.84,97.95,82.4,73.23,83.99,88.15,76.26,80.66,100.75,81.93,73.52,80.6,90.73,74.56,97.34,67.74,73.09,68.62,67.9,68.14,72.39,91.28,68.14,51.83,,27,965,36,26.43,
30.10.22 14:12:45,16.3,95.13,97.95,82.4,72.5,83.43,88.01,75.99,80.38,100.9,81.93,73.52,80.33,90.73,74.01,97.19,67.47,72.68,68.48,67.5,67.86,71.98,91.28,67.47,51.58,,27,965,36,26.43,
30.10.22 14:13:00,16.55,94.99,97.95,82.26,72.21,83.14,88.01,75.58,80.1,100.75,81.36,73.25,79.91,90.59,73.74,97.19,67.33,72.55,68.35,67.37,67.58,71.98,91.13,66.53,51.2,,27,965,36,26.44,
30.10.22 14:13:15,16.8,94.99,97.8,81.98,71.78,83,87.87,75.16,79.82,100.75,81.51,72.97,79.77,90.59,73.33,97.19,67.2,72.01,67.94,67.23,67.15,71.44,91.28,66.26,50.82,,27,965,36,26.43,
30.10.22 14:13:30,17.05,94.69,97.51,81.56,71.06,82.58,87.3,74.34,79.12,100.6,81.08,72.83,79.21,90.16,72.65,96.9,66.39,71.61,67.67,66.7,66.73,70.89,90.55,65.72,50.07,,27,965,36,26.43,
30.10.22 14:13:45,17.3,95.13,97.65,81.42,70.77,82.72,87.58,74.34,78.83,100.75,80.94,72.97,79.35,90.3,72.11,97.04,66.12,71.47,67.39,66.43,66.73,70.62,90.55,65.99,50.07,,27,965,36,26.44,
30.10.22 14:14:00,17.55,95.13,97.51,81.14,70.62,82.29,87.58,74.07,78.97,100.75,80.94,72.7,79.35,90.16,71.84,97.04,66.26,71.07,67.12,66.17,66.58,70.21,90.41,65.32,49.44,,27,965,36,26.46,
30.10.22 14:14:15,17.8,94.99,97.36,81,70.33,81.87,87.02,73.66,78.41,100.45,80.8,72.42,78.94,89.87,71.03,97.04,65.86,70.67,66.71,65.5,65.88,69.67,90.41,65.06,49.19,,27,965,36,26.46,
30.10.22 14:14:30,18.05,95.13,97.21,80.72,70.05,81.45,87.02,73.38,78.13,100.6,80.38,72.29,78.94,89.58,70.76,96.6,65.72,70.53,66.04,65.5,65.88,69.53,90.26,64.66,48.69,,27,965,36,26.47,
30.10.22 14:14:45,18.3,95.13,97.21,80.44,69.61,81.03,86.88,73.11,77.71,100.6,80.24,72.01,78.38,89.72,70.22,96.75,65.59,70.13,65.22,64.97,65.74,69.26,89.97,64.52,48.57,,27,965,36,26.47,
30.10.22 14:15:00,18.55,95.13,97.21,80.58,69.33,80.88,86.88,72.97,77.57,100.6,80.24,71.6,78.38,89.72,69.95,96.6,65.46,69.6,64.55,64.97,65.31,68.99,89.82,64.12,48.32,,27,965,36,26.47,
30.10.22 14:15:15,18.8,94.84,97.07,80.17,69.04,80.6,86.45,72.57,77.02,100.45,79.83,71.33,78.52,89.43,69.28,96.6,64.79,69.06,64.28,64.71,64.89,68.58,89.39,64.12,47.7,,27,965,36,26.49,
30.10.22 14:15:30,19.05,94.99,97.07,80.17,68.75,80.6,86.6,72.29,77.02,100.45,79.69,71.19,78.24,89.43,69.01,96.31,64.66,68.4,64.28,64.57,64.75,68.44,89.53,63.99,47.32,,27,965,36,26.5,
30.10.22 14:15:45,19.3,94.69,96.63,79.75,68.32,80.46,86.17,71.89,76.46,100.3,79.27,71.19,77.69,89.14,68.34,96.16,64.26,68.13,63.88,64.57,64.47,68.04,89.39,63.72,47.07,,27,965,36,26.49,
30.10.22 14:16:00,19.55,94.69,96.78,80.03,67.89,80.32,86.03,71.75,76.46,100.6,79.27,71.06,77.42,89.29,68.07,96.31,64.39,68,63.61,64.57,64.05,67.9,89.24,63.59,46.45,,27,965,36,26.5,
30.10.22 14:16:15,19.8,94.69,96.78,79.75,67.6,80.18,85.47,71.48,76.18,100.45,79.13,70.78,76.73,89.14,67.8,96.31,64.26,67.74,63.07,64.71,63.77,67.63,89.24,63.19,45.96,,27,965,36,26.5,
30.10.22 14:16:30,20.05,94.55,96.78,79.47,67.18,79.48,85.19,70.94,75.62,100.45,78.57,70.38,76.59,88.71,67.27,96.02,63.86,67.2,62.4,64.57,63.21,67.36,88.95,62.66,45.47,,27,965,36,26.51,
30.10.22 14:16:45,20.3,94.69,96.49,79.47,67.03,79.34,85.05,70.67,75.62,100.45,78.57,69.97,76.18,88.42,66.73,96.02,63.33,67.2,61.73,64.44,62.79,67.09,88.52,62.53,45.34,,27,965,36,26.51,
30.10.22 14:17:00,20.55,94.69,96.34,79.05,66.89,79.06,84.77,70.8,75.48,100.45,78.01,69.7,76.04,88.28,66.2,96.02,62.93,67.07,61.6,64.31,62.23,66.82,88.81,62,45.09,,27,965,36,26.51,
30.10.22 14:17:15,20.8,94.4,96.19,78.78,66.46,78.92,84.49,70.4,75.21,100.3,78.01,69.56,75.35,88.28,65.94,95.58,62.27,66.68,61.06,64.18,61.95,66.42,88.09,61.61,44.6,,27,965,36,26.53,
30.10.22 14:17:30,21.05,94.26,96.05,78.64,65.89,78.5,84.35,70.26,75.07,100.45,77.46,69.02,75.35,87.7,65.41,95.72,61.61,66.28,60.53,64.04,61.53,66.15,88.09,61.47,44.36,,27,965,36,26.53,
30.10.22 14:17:45,21.3,94.55,96.19,78.64,65.61,78.5,84.21,70.12,74.79,100.45,77.74,68.88,75.22,87.85,65.14,95.58,61.21,66.28,60.26,64.18,61.81,65.88,88.23,61.34,44.36,,27,965,36,26.53,
30.10.22 14:18:00,21.55,94.4,95.9,78.22,65.46,78.5,83.65,69.72,74.79,100.3,77.18,68.75,75.08,87.42,64.61,95.43,60.68,65.88,59.73,63.65,61.53,65.48,87.8,61.08,43.99,,27,965,36,26.54,
30.10.22 14:18:15,21.8,94.4,95.76,78.08,65.04,78.22,83.23,69.58,74.51,100.3,76.91,68.61,74.94,87.27,64.35,95.14,60.55,65.62,59.07,63.52,60.97,64.95,87.65,60.55,43.62,,27,965,36,26.54,
30.10.22 14:18:30,22.05,94.11,95.61,77.94,64.33,77.95,83.23,69.18,74.1,100.3,76.63,68.34,74.67,87.13,64.08,95.28,60.03,65.22,58.8,63.25,60.56,64.68,87.51,60.29,43.25,,27,965,36,26.54,
30.10.22 14:18:45,22.3,94.26,95.47,77.67,63.9,78.09,82.95,68.91,74.1,100.45,76.49,68.21,74.39,86.99,63.55,94.99,59.89,64.96,58.41,63.25,60.14,64.54,87.37,59.89,43.13,,27,965,36,26.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
