temp,Date,Time
28.27,3/1/16,03:45:00 - AM
28.27,3/1/16,07:15:00 - AM
28.27,3/1/16,11:30:00 - PM
28.27,3/1/16,11:45:00 - PM
28.27,4/1/16,06:45:00 - AM
28.27,4/1/16,09:00:00 - PM
28.27,4/1/16,11:00:00 - PM
28.27,4/1/16,11:15:00 - PM
28.27,4/1/16,11:30:00 - PM
28.27,4/1/16,11:45:00 - PM
28.27,5/1/16,12:00:00 - AM
28.27,5/1/16,06:30:00 - AM
28.27,5/1/16,06:45:00 - AM
28.27,5/1/16,09:30:00 - AM
28.27,6/1/16,06:45:00 - AM
28.27,6/1/16,07:00:00 - AM
28.27,6/1/16,04:00:00 - PM
28.27,6/1/16,06:15:00 - PM
28.27,6/1/16,06:30:00 - PM
28.27,6/1/16,06:45:00 - PM
28.27,6/1/16,07:30:00 - PM
28.27,6/1/16,08:15:00 - PM
28.27,7/1/16,03:15:00 - AM
28.27,7/1/16,03:30:00 - AM
28.27,7/1/16,03:45:00 - AM
28.27,7/1/16,04:00:00 - AM
28.27,7/1/16,04:15:00 - AM
28.27,7/1/16,04:30:00 - AM
28.27,7/1/16,06:30:00 - AM
28.27,7/1/16,07:00:00 - AM
28.27,7/1/16,07:15:00 - AM
28.27,7/1/16,07:30:00 - AM
28.27,7/1/16,07:45:00 - AM
28.27,7/1/16,08:00:00 - AM
28.27,7/1/16,02:00:00 - PM
28.27,11/1/16,04:00:00 - AM
28.27,11/1/16,04:15:00 - AM
28.27,11/1/16,05:00:00 - AM
28.27,11/1/16,05:15:00 - AM
28.27,11/1/16,05:30:00 - AM
28.27,11/1/16,05:45:00 - AM
28.27,1/20/16,06:45:00 - PM
28.27,1/23/16,08:45:00 - PM
28.27,1/23/16,09:00:00 - PM
28.27,1/24/16,09:15:00 - PM
28.27,1/25/16,04:15:00 - AM
28.27,1/25/16,08:15:00 - PM
28.27,1/27/16,05:45:00 - AM
28.27,1/27/16,06:00:00 - AM
28.27,1/27/16,06:15:00 - AM
28.27,2/2/16,04:45:00 - AM
28.27,2/2/16,05:00:00 - AM
28.27,4/2/16,05:00:00 - AM
28.27,5/2/16,02:45:00 - AM
28.27,5/2/16,03:00:00 - AM
28.27,5/2/16,03:15:00 - AM
28.27,9/2/16,10:15:00 - PM
28.27,9/2/16,10:30:00 - PM
28.27,2/20/16,05:00:00 - AM
28.27,2/20/16,05:15:00 - AM
28.27,2/20/16,07:30:00 - AM
28.27,2/20/16,07:45:00 - AM
28.27,2/21/16,06:30:00 - AM
28.27,2/21/16,08:30:00 - AM
28.27,2/21/16,08:45:00 - AM
28.27,2/22/16,04:15:00 - AM
28.27,2/24/16,10:15:00 - PM
28.27,2/26/16,06:45:00 - PM
28.27,2/27/16,08:00:00 - PM
28.27,2/27/16,09:45:00 - PM
28.27,2/27/16,10:15:00 - PM
28.27,2/27/16,10:30:00 - PM
28.27,2/28/16,12:30:00 - AM
28.27,2/28/16,12:45:00 - AM
28.27,2/28/16,05:30:00 - AM
28.27,2/28/16,05:45:00 - AM
28.27,2/3/16,03:45:00 - PM
28.27,3/3/16,03:45:00 - AM
28.27,3/3/16,04:00:00 - AM
28.27,3/3/16,04:15:00 - AM
28.27,3/3/16,04:30:00 - AM
28.27,3/3/16,07:15:00 - AM
28.27,3/3/16,07:30:00 - AM
28.27,3/3/16,07:45:00 - AM
28.27,5/3/16,05:45:00 - AM
28.27,5/3/16,07:00:00 - AM
28.27,4/17/16,12:00:00 - AM
28.27,4/19/16,03:30:00 - AM
28.27,4/28/16,06:15:00 - PM
28.27,4/29/16,08:30:00 - AM
28.27,4/30/16,08:45:00 - PM
28.27,5/5/16,08:15:00 - AM
28.27,7/5/16,08:45:00 - AM
28.27,7/5/16,11:30:00 - PM
28.27,7/5/16,11:45:00 - PM
28.27,8/5/16,12:00:00 - AM
28.27,8/5/16,12:45:00 - AM
28.27,8/5/16,07:15:00 - PM
28.27,8/5/16,11:00:00 - PM
28.27,8/5/16,11:15:00 - PM
28.27,8/5/16,11:30:00 - PM
28.27,8/5/16,11:45:00 - PM
28.27,9/5/16,12:00:00 - AM
28.27,9/5/16,08:30:00 - PM
28.27,9/5/16,10:00:00 - PM
28.27,10/5/16,04:00:00 - AM
28.27,10/5/16,04:15:00 - AM
28.27,10/5/16,04:30:00 - AM
28.27,10/5/16,09:00:00 - AM
28.32,9/12/15,02:30:00 - PM
28.32,9/12/15,02:45:00 - PM
28.32,10/12/15,09:00:00 - AM
28.32,10/12/15,11:00:00 - AM
28.32,11/12/15,09:00:00 - AM
28.32,11/12/15,09:30:00 - AM
28.32,11/12/15,09:45:00 - AM
28.32,12/12/15,09:45:00 - AM
28.32,12/16/15,08:00:00 - AM
28.32,12/16/15,05:30:00 - PM
28.32,12/17/15,07:45:00 - AM
28.32,12/17/15,08:15:00 - PM
28.32,12/20/15,07:45:00 - AM
28.32,12/22/15,02:30:00 - PM
28.32,12/24/15,06:45:00 - PM
28.32,12/25/15,11:15:00 - AM
28.32,12/25/15,12:00:00 - PM
28.32,12/25/15,01:00:00 - PM
28.32,12/26/15,06:00:00 - PM
28.32,12/27/15,08:00:00 - PM
28.32,12/28/15,07:15:00 - AM
28.32,12/29/15,01:30:00 - AM
28.32,12/29/15,03:15:00 - AM
28.32,12/29/15,08:45:00 - PM
28.32,12/29/15,09:00:00 - PM
28.32,12/29/15,09:15:00 - PM
28.32,12/29/15,09:30:00 - PM
28.32,12/30/15,08:00:00 - PM
28.32,12/31/15,09:45:00 - PM
28.32,1/1/16,07:45:00 - AM
28.32,2/1/16,04:45:00 - AM
28.32,3/1/16,03:15:00 - AM
28.32,4/1/16,07:00:00 - AM
28.32,4/1/16,07:15:00 - AM
28.32,4/1/16,08:00:00 - PM
28.32,4/1/16,08:45:00 - PM
28.32,5/1/16,09:45:00 - AM
28.32,5/1/16,10:30:00 - AM
28.32,5/1/16,10:45:00 - AM
28.32,5/1/16,06:30:00 - PM
28.32,6/1/16,09:00:00 - PM
28.32,6/1/16,09:15:00 - PM
28.32,6/1/16,09:30:00 - PM
28.32,7/1/16,01:00:00 - AM
28.32,7/1/16,01:45:00 - AM
28.32,7/1/16,02:00:00 - AM
28.32,7/1/16,02:15:00 - AM
28.32,7/1/16,02:30:00 - AM
28.32,8/1/16,11:00:00 - AM
28.32,8/1/16,01:15:00 - PM
28.32,11/1/16,02:30:00 - AM
28.32,11/1/16,03:00:00 - AM
28.32,11/1/16,06:45:00 - AM
28.32,1/13/16,07:45:00 - AM
28.32,1/15/16,04:45:00 - AM
28.32,1/15/16,05:00:00 - AM
28.32,1/15/16,05:15:00 - AM
28.32,1/17/16,06:00:00 - AM
28.32,1/19/16,10:30:00 - PM
28.32,1/19/16,10:45:00 - PM
28.32,1/19/16,11:30:00 - PM
28.32,1/20/16,12:45:00 - AM
28.32,1/20/16,01:15:00 - AM
28.32,1/20/16,01:30:00 - AM
28.32,1/20/16,01:45:00 - AM
28.32,1/20/16,08:00:00 - AM
28.32,1/21/16,07:00:00 - PM
28.32,1/22/16,07:00:00 - PM
28.32,1/23/16,08:15:00 - PM
28.32,1/24/16,08:00:00 - PM
28.32,1/25/16,02:45:00 - AM
28.32,1/25/16,03:00:00 - AM
28.32,1/25/16,03:45:00 - AM
28.32,1/25/16,08:00:00 - PM
28.32,1/27/16,05:15:00 - AM
28.32,1/27/16,08:45:00 - PM
28.32,1/27/16,09:00:00 - PM
28.32,1/29/16,06:00:00 - AM
28.32,1/2/16,03:30:00 - AM
28.32,1/2/16,04:00:00 - AM
28.32,1/2/16,04:15:00 - AM
28.32,1/2/16,04:30:00 - AM
28.32,1/2/16,04:45:00 - AM
28.32,1/2/16,06:00:00 - AM
28.32,1/2/16,06:15:00 - AM
28.32,1/2/16,06:30:00 - AM
28.32,2/2/16,03:30:00 - AM
28.32,2/2/16,03:45:00 - AM
28.32,2/2/16,04:00:00 - AM
28.32,2/2/16,06:45:00 - AM
28.32,4/2/16,04:30:00 - AM
28.32,5/2/16,01:00:00 - AM
28.32,5/2/16,01:15:00 - AM
28.32,5/2/16,01:45:00 - AM
28.32,5/2/16,02:00:00 - AM
28.32,5/2/16,07:15:00 - AM
28.32,6/2/16,06:00:00 - AM
28.32,6/2/16,06:30:00 - AM
28.32,7/2/16,06:15:00 - AM
28.32,7/2/16,06:30:00 - AM
28.32,2/19/16,11:00:00 - AM
28.32,2/19/16,11:15:00 - AM
28.32,2/19/16,09:15:00 - PM
28.32,2/19/16,09:30:00 - PM
28.32,2/19/16,09:45:00 - PM
28.32,2/19/16,10:00:00 - PM
28.32,2/19/16,10:15:00 - PM
28.32,2/19/16,10:30:00 - PM
28.32,2/19/16,10:45:00 - PM
28.32,2/19/16,11:00:00 - PM
28.32,2/19/16,11:15:00 - PM
28.32,2/19/16,11:30:00 - PM
28.32,2/19/16,11:45:00 - PM
28.32,2/20/16,08:15:00 - AM
28.32,2/20/16,08:30:00 - AM
28.32,2/20/16,08:45:00 - AM
28.32,2/20/16,09:00:00 - AM
28.32,2/20/16,09:15:00 - AM
28.32,2/21/16,05:45:00 - AM
28.32,2/21/16,06:00:00 - AM
28.32,2/21/16,06:15:00 - AM
28.32,2/21/16,09:00:00 - AM
28.32,2/21/16,09:15:00 - AM
28.32,2/21/16,08:15:00 - PM
28.32,2/21/16,09:15:00 - PM
28.32,2/21/16,09:30:00 - PM
28.32,2/21/16,09:45:00 - PM
28.32,2/21/16,10:00:00 - PM
28.32,2/21/16,10:15:00 - PM
28.32,2/22/16,12:00:00 - AM
28.32,2/22/16,12:45:00 - AM
28.32,2/22/16,03:15:00 - AM
28.32,2/22/16,03:30:00 - AM
28.32,2/22/16,03:45:00 - AM
28.32,2/24/16,11:30:00 - PM
28.32,2/24/16,11:45:00 - PM
28.32,2/25/16,12:00:00 - AM
28.32,2/25/16,05:00:00 - AM
28.32,2/25/16,05:15:00 - AM
28.32,2/25/16,05:30:00 - AM
28.32,2/25/16,06:15:00 - AM
28.32,2/25/16,06:30:00 - AM
28.32,2/25/16,06:45:00 - AM
28.32,2/25/16,07:00:00 - AM
28.32,2/25/16,07:15:00 - AM
28.32,2/26/16,02:45:00 - PM
28.32,2/26/16,03:00:00 - PM
28.32,2/26/16,06:15:00 - PM
28.32,2/27/16,08:00:00 - AM
28.32,2/27/16,07:30:00 - PM
28.32,2/27/16,07:45:00 - PM
28.32,2/28/16,01:30:00 - AM
28.32,2/28/16,01:45:00 - AM
28.32,2/28/16,02:00:00 - AM
28.32,2/28/16,02:15:00 - AM
28.32,2/28/16,02:30:00 - AM
28.32,2/28/16,02:45:00 - AM
28.32,2/28/16,03:00:00 - AM
28.32,2/28/16,03:15:00 - AM
28.32,2/28/16,07:00:00 - AM
28.32,2/28/16,07:15:00 - AM
28.32,2/28/16,07:30:00 - AM
28.32,2/28/16,09:30:00 - PM
28.32,2/28/16,10:00:00 - PM
28.32,2/28/16,11:30:00 - PM
28.32,2/28/16,11:45:00 - PM
28.32,2/29/16,12:00:00 - AM
28.32,2/29/16,12:15:00 - AM
28.32,2/29/16,12:30:00 - AM
28.32,2/3/16,06:00:00 - AM
28.32,2/3/16,06:15:00 - AM
28.32,2/3/16,06:30:00 - AM
28.32,2/3/16,03:15:00 - PM
28.32,3/3/16,07:00:00 - AM
28.32,3/3/16,07:45:00 - PM
28.32,5/3/16,05:30:00 - AM
28.32,4/17/16,12:45:00 - AM
28.32,4/19/16,07:30:00 - AM
28.32,4/24/16,12:15:00 - PM
28.32,4/24/16,12:30:00 - PM
28.32,4/29/16,09:30:00 - AM
28.32,4/30/16,10:00:00 - AM
28.32,4/30/16,08:15:00 - PM
28.32,2/5/16,08:30:00 - AM
28.32,2/5/16,08:45:00 - PM
28.32,5/5/16,07:30:00 - PM
28.32,7/5/16,07:15:00 - PM
28.32,8/5/16,07:00:00 - PM
28.32,9/5/16,08:00:00 - PM
28.32,9/5/16,10:30:00 - PM
28.32,10/5/16,02:45:00 - AM
28.99,9/12/15,10:45:00 - AM
28.99,12/12/15,12:15:00 - PM
28.99,12/20/15,04:30:00 - PM
28.99,12/21/15,03:30:00 - PM
28.99,12/23/15,03:45:00 - PM
28.99,12/24/15,12:00:00 - PM
28.99,12/24/15,03:15:00 - PM
28.99,12/25/15,02:45:00 - PM
28.99,12/28/15,08:00:00 - PM
28.99,12/29/15,05:00:00 - PM
28.99,12/31/15,05:45:00 - PM
28.99,2/1/16,06:45:00 - PM
28.99,2/1/16,08:00:00 - PM
28.99,4/1/16,04:30:00 - PM
28.99,5/1/16,02:00:00 - PM
28.99,5/1/16,02:15:00 - PM
28.99,6/1/16,02:00:00 - PM
28.99,10/1/16,06:15:00 - PM
28.99,11/1/16,09:15:00 - AM
28.99,12/1/16,05:30:00 - PM
28.99,1/14/16,08:00:00 - AM
28.99,1/18/16,03:30:00 - PM
28.99,1/18/16,04:30:00 - PM
28.99,1/19/16,08:45:00 - AM
28.99,1/20/16,04:30:00 - PM
28.99,1/29/16,08:00:00 - AM
28.99,1/29/16,03:30:00 - PM
28.99,1/31/16,03:30:00 - PM
28.99,1/31/16,04:00:00 - PM
28.99,1/31/16,04:15:00 - PM
28.99,1/2/16,09:30:00 - AM
28.99,1/2/16,10:00:00 - AM
28.99,1/2/16,05:00:00 - PM
28.99,7/2/16,07:00:00 - PM
28.99,11/2/16,09:00:00 - PM
28.99,2/13/16,03:00:00 - AM
28.99,2/14/16,07:30:00 - AM
28.99,2/14/16,08:00:00 - PM
28.99,2/14/16,08:15:00 - PM
28.99,2/14/16,08:30:00 - PM
28.99,2/14/16,08:45:00 - PM
28.99,2/14/16,09:00:00 - PM
28.99,2/14/16,09:15:00 - PM
28.99,2/14/16,09:30:00 - PM
28.99,2/14/16,10:30:00 - PM
28.99,2/16/16,02:00:00 - PM
28.99,2/17/16,02:00:00 - PM
28.99,2/21/16,12:15:00 - PM
28.99,2/22/16,08:15:00 - AM
28.99,2/23/16,09:00:00 - AM
28.99,2/25/16,12:30:00 - PM
28.99,2/25/16,01:30:00 - PM
28.99,2/25/16,02:15:00 - PM
28.99,2/25/16,03:45:00 - PM
28.99,2/27/16,12:00:00 - PM
28.99,2/27/16,03:45:00 - PM
28.99,1/3/16,01:00:00 - PM
28.99,1/3/16,01:30:00 - PM
28.99,3/3/16,10:30:00 - AM
28.99,3/3/16,12:00:00 - PM
28.99,6/3/16,09:00:00 - PM
28.99,7/3/16,07:45:00 - PM
28.99,8/3/16,07:15:00 - PM
28.99,10/3/16,07:30:00 - AM
28.99,10/3/16,08:00:00 - AM
28.99,10/3/16,07:45:00 - PM
28.99,10/3/16,11:45:00 - PM
28.99,11/3/16,10:15:00 - AM
28.99,11/3/16,05:30:00 - PM
28.99,3/13/16,08:00:00 - PM
28.99,3/14/16,07:30:00 - AM
28.99,3/15/16,07:15:00 - PM
28.99,3/18/16,04:15:00 - AM
28.99,3/18/16,06:45:00 - AM
28.99,1/4/16,06:00:00 - AM
28.99,1/4/16,07:00:00 - AM
28.99,2/4/16,04:00:00 - AM
28.99,2/4/16,04:15:00 - AM
28.99,3/4/16,09:00:00 - AM
28.99,3/4/16,09:45:00 - AM
28.99,5/4/16,04:45:00 - AM
28.99,5/4/16,06:00:00 - AM
28.99,4/14/16,05:45:00 - AM
28.99,4/15/16,12:30:00 - AM
28.99,4/15/16,06:15:00 - AM
28.99,4/15/16,06:30:00 - AM
28.99,4/16/16,04:15:00 - AM
28.99,4/16/16,04:30:00 - AM
28.99,4/17/16,08:00:00 - AM
28.99,4/17/16,03:45:00 - PM
28.99,4/18/16,08:45:00 - AM
28.99,4/19/16,10:30:00 - AM
28.99,4/20/16,12:45:00 - AM
28.99,4/20/16,09:15:00 - AM
28.99,4/20/16,08:00:00 - PM
28.99,4/20/16,08:30:00 - PM
28.99,4/20/16,08:45:00 - PM
28.99,4/20/16,09:30:00 - PM
28.99,4/20/16,09:45:00 - PM
28.99,4/20/16,10:00:00 - PM
28.99,4/20/16,10:15:00 - PM
28.99,4/20/16,10:30:00 - PM
28.99,4/20/16,10:45:00 - PM
28.99,4/23/16,09:30:00 - AM
28.99,4/23/16,09:45:00 - AM
28.99,4/27/16,03:45:00 - AM
28.99,1/5/16,08:30:00 - PM
28.99,2/5/16,07:15:00 - PM
28.99,3/5/16,10:30:00 - AM
28.99,3/5/16,04:00:00 - PM
28.99,5/5/16,05:45:00 - PM
28.99,6/5/16,01:30:00 - PM
28.99,6/5/16,01:45:00 - PM
28.99,6/5/16,02:30:00 - PM
28.99,9/5/16,05:00:00 - PM
29.04,12/12/15,01:30:00 - PM
29.04,12/12/15,01:45:00 - PM
29.04,12/14/15,10:15:00 - AM
29.04,12/14/15,12:30:00 - PM
29.04,12/14/15,12:45:00 - PM
29.04,12/18/15,10:00:00 - AM
29.04,12/19/15,04:15:00 - PM
29.04,12/20/15,04:00:00 - PM
29.04,12/21/15,09:45:00 - AM
29.04,12/24/15,03:30:00 - PM
29.04,12/24/15,04:00:00 - PM
29.04,12/27/15,05:30:00 - PM
29.04,12/30/15,09:00:00 - AM
29.04,12/30/15,05:30:00 - PM
29.04,12/31/15,03:30:00 - PM
29.04,2/1/16,04:00:00 - PM
29.04,2/1/16,06:30:00 - PM
29.04,4/1/16,11:30:00 - AM
29.04,4/1/16,11:45:00 - AM
29.04,4/1/16,03:15:00 - PM
29.04,4/1/16,04:00:00 - PM
29.04,4/1/16,04:15:00 - PM
29.04,9/1/16,05:30:00 - PM
29.04,11/1/16,05:45:00 - PM
29.04,12/1/16,10:45:00 - AM
29.04,12/1/16,11:00:00 - AM
29.04,12/1/16,11:30:00 - AM
29.04,1/13/16,09:00:00 - AM
29.04,1/14/16,04:45:00 - PM
29.04,1/15/16,08:15:00 - AM
29.04,1/16/16,05:30:00 - PM
29.04,1/17/16,10:15:00 - AM
29.04,1/17/16,05:15:00 - PM
29.04,1/18/16,10:30:00 - AM
29.04,1/18/16,11:00:00 - AM
29.04,1/18/16,02:45:00 - PM
29.04,1/18/16,03:45:00 - PM
29.04,1/18/16,04:00:00 - PM
29.04,1/21/16,08:45:00 - AM
29.04,1/21/16,05:30:00 - PM
29.04,1/22/16,04:45:00 - PM
29.04,1/23/16,02:30:00 - PM
29.04,1/23/16,02:45:00 - PM
29.04,1/25/16,06:00:00 - PM
29.04,1/26/16,06:30:00 - PM
29.04,1/28/16,03:15:00 - PM
29.04,1/28/16,03:30:00 - PM
29.04,1/28/16,03:45:00 - PM
29.04,1/29/16,01:45:00 - PM
29.04,1/29/16,03:15:00 - PM
29.04,1/30/16,03:30:00 - PM
29.04,1/31/16,03:00:00 - PM
29.04,1/2/16,09:15:00 - AM
29.04,1/2/16,12:45:00 - PM
29.04,1/2/16,01:45:00 - PM
29.04,1/2/16,02:00:00 - PM
29.04,5/2/16,08:30:00 - AM
29.04,7/2/16,06:45:00 - PM
29.04,8/2/16,07:45:00 - AM
29.04,9/2/16,06:45:00 - PM
29.04,10/2/16,08:00:00 - AM
29.04,11/2/16,08:30:00 - PM
29.04,12/2/16,11:15:00 - PM
29.04,2/13/16,12:30:00 - AM
29.04,2/13/16,02:15:00 - AM
29.04,2/13/16,02:30:00 - AM
29.04,2/13/16,11:15:00 - PM
29.04,2/13/16,11:30:00 - PM
29.04,2/13/16,11:45:00 - PM
29.04,2/14/16,02:00:00 - AM
29.04,2/14/16,05:30:00 - AM
29.04,2/14/16,07:45:00 - AM
29.04,2/14/16,03:15:00 - PM
29.04,2/14/16,03:30:00 - PM
29.04,2/17/16,12:15:00 - PM
29.04,2/17/16,12:45:00 - PM
29.04,2/23/16,04:15:00 - PM
29.04,2/25/16,01:00:00 - PM
29.04,2/27/16,11:30:00 - AM
29.04,4/3/16,05:30:00 - PM
29.04,6/3/16,07:15:00 - PM
29.04,6/3/16,08:00:00 - PM
29.04,7/3/16,07:30:00 - PM
29.04,8/3/16,07:00:00 - PM
29.04,10/3/16,06:45:00 - PM
29.04,11/3/16,05:15:00 - PM
29.04,3/13/16,07:45:00 - PM
29.04,3/15/16,07:00:00 - PM
29.04,3/17/16,01:45:00 - AM
29.04,3/17/16,02:00:00 - AM
29.04,3/18/16,02:45:00 - AM
29.04,3/18/16,03:00:00 - AM
29.04,3/18/16,03:15:00 - AM
29.04,3/28/16,06:15:00 - AM
29.04,1/4/16,04:45:00 - AM
29.04,1/4/16,05:30:00 - AM
29.04,1/4/16,07:30:00 - AM
29.04,2/4/16,03:00:00 - AM
29.04,2/4/16,03:15:00 - AM
29.04,3/4/16,02:30:00 - AM
29.04,3/4/16,06:45:00 - AM
29.04,3/4/16,07:45:00 - AM
29.04,3/4/16,08:00:00 - AM
29.04,3/4/16,08:15:00 - AM
29.04,3/4/16,08:30:00 - AM
29.04,5/4/16,03:30:00 - AM
29.04,5/4/16,03:45:00 - AM
29.04,5/4/16,06:30:00 - AM
29.04,4/14/16,04:45:00 - AM
29.04,4/14/16,05:30:00 - AM
29.04,4/14/16,08:15:00 - PM
29.04,4/14/16,09:00:00 - PM
29.04,4/15/16,12:00:00 - AM
29.04,4/16/16,03:45:00 - AM
29.04,4/16/16,06:15:00 - AM
29.04,4/16/16,06:45:00 - AM
29.04,4/16/16,05:30:00 - PM
29.04,4/17/16,08:15:00 - AM
29.04,4/18/16,05:00:00 - PM
29.04,4/19/16,10:45:00 - AM
29.04,4/19/16,06:15:00 - PM
29.04,4/19/16,07:00:00 - PM
29.04,4/19/16,07:30:00 - PM
29.04,4/19/16,07:45:00 - PM
29.04,4/19/16,08:30:00 - PM
29.04,4/19/16,08:45:00 - PM
29.04,4/19/16,09:30:00 - PM
29.04,4/19/16,09:45:00 - PM
29.04,4/19/16,10:00:00 - PM
29.04,4/19/16,11:00:00 - PM
29.04,4/19/16,11:15:00 - PM
29.04,4/20/16,12:15:00 - AM
29.04,4/20/16,09:30:00 - AM
29.04,4/20/16,06:45:00 - PM
29.04,4/20/16,07:00:00 - PM
29.04,4/22/16,01:30:00 - PM
29.04,4/22/16,01:45:00 - PM
29.04,4/22/16,02:00:00 - PM
29.04,2/5/16,09:30:00 - AM
29.04,6/5/16,01:15:00 - PM
29.04,7/5/16,04:00:00 - PM
29.04,8/5/16,04:00:00 - PM
29.09,11/12/15,10:45:00 - AM
29.09,12/12/15,03:30:00 - PM
29.09,12/14/15,10:45:00 - AM
29.09,12/14/15,01:45:00 - PM
29.09,12/20/15,10:45:00 - AM
29.09,12/21/15,10:15:00 - AM
29.09,12/21/15,10:45:00 - AM
29.09,12/24/15,02:00:00 - PM
29.09,12/24/15,02:30:00 - PM
29.09,12/28/15,08:45:00 - AM
29.09,12/28/15,07:45:00 - PM
29.09,12/29/15,08:45:00 - AM
29.09,1/1/16,09:15:00 - AM
29.09,3/1/16,10:45:00 - AM
29.09,4/1/16,03:00:00 - PM
29.09,4/1/16,03:30:00 - PM
29.09,9/1/16,09:45:00 - AM
29.09,11/1/16,09:30:00 - AM
29.09,12/1/16,11:15:00 - AM
