"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
273 0.673320266863992 3 8 "GO:0001558;GO:0040008;GO:0051128" "regulation of cellular component organization" 0.931187603109776
-298 0.818179272686076 2 2 "GO:0001568" "blood vessel development" 0.977106789940297
-1641 0.369688276864627 6 1 "GO:0001580;GO:0050912;GO:0050907;GO:0009593;GO:0050906;GO:0051606" "detection of chemical stimulus involved in sensory perception of bitter taste" 0.902924005967186
131 0.788972871460656 4 14 "GO:0001654;GO:0007423;GO:0048513" "animal organ development" 0.977106789940297
324 0.802590991220483 2 2 "GO:0001655" "urogenital system development" 0.977106789940297
1651 0.118091275656208 3 3 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to hypoxia" 0.890319816244784
-214 0.868699901346926 2 2 "GO:0001667" "ameboidal-type cell migration" 0.977106789940297
371 0.774614523639718 5 2 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "chordate embryonic development" 0.977106789940297
416 0.820265498089272 2 1 "GO:0001709" "cell fate determination" 0.977106789940297
282 0.827507032218902 4 2 "GO:0001764" "neuron migration" 0.977106789940297
406 0.424453712774539 2 13 "GO:0001775" "cell activation" 0.909543670231155
1603 0.215290279054849 2 2 "GO:0001816;GO:0010467" "cytokine production" 0.890319816244784
276 0.522461055711248 3 18 "GO:0001817;GO:0051239" "regulation of cytokine production" 0.911999941517449
-882 0.629790739389541 6 1 "GO:0001845;GO:0007040;GO:0016050;GO:0080171" "phagolysosome assembly" 0.927128669032513
1991 0.276399033553017 2 1 "GO:0001889;GO:0048732" "liver development" 0.890319816244784
782 0.545708274538755 4 2 "GO:0001894;GO:0060249" "anatomical structure homeostasis" 0.915364096097271
-1936 0.28988716437916 3 1 "GO:0001910;GO:0002703;GO:0031341" "regulation of leukocyte mediated immunity" 0.890319816244784
694 0.704524993241238 4 1 "GO:0001919" "regulation of receptor recycling" 0.943947840775908
-596 0.279984363037407 7 11 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of protein modification process" 0.890319816244784
-32 0.962809669151724 3 7 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.979370694122639
-351 0.848008351070441 5 1 "GO:0002082;GO:0043467;GO:1903578" "regulation of generation of precursor metabolites and energy" 0.977106789940297
-1634 0.371734183855596 3 1 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:1901566;GO:0043603" "cytoplasmic translation" 0.902924005967186
357 0.78262215411535 3 2 "GO:0002218;GO:0045089;GO:0002833;GO:0031349;GO:0032103;GO:0045088;GO:0002831;GO:0031347;GO:0032101;GO:0080134" "positive regulation of innate immune response" 0.977106789940297
1657 0.365038261659638 2 1 "GO:0002237;GO:0010033" "response to molecule of bacterial origin" 0.902924005967186
-1737 0.342339889053768 2 1 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.902924005967186
1541 0.399577818902967 2 1 "GO:0002251;GO:0006955" "organ or tissue specific immune response" 0.906897372699043
254 0.809982671713974 3 3 "GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0048518" "positive regulation of immune response" 0.977106789940297
2031 0.266862434936131 4 1 "GO:0002262;GO:0048872" "myeloid cell homeostasis" 0.890319816244784
899 0.140734902764006 1 9 "GO:0002376" "immune system process" 0.890319816244784
219 0.904895032648803 3 1 "GO:0002637;GO:0002700" "regulation of production of molecular mediator of immune response" 0.977106789940297
401 0.511497958295663 3 9 "GO:0002682" "regulation of immune system process" 0.911999941517449
-859 0.506847817101857 2 2 "GO:0002697" "regulation of immune effector process" 0.911999941517449
-955 0.460515379167193 4 2 "GO:0002791;GO:0051046;GO:0090087;GO:0051049;GO:0044070;GO:0043269" "regulation of peptide secretion" 0.911999941517449
1180 0.264134600479692 2 3 "GO:0003006;GO:0022414" "developmental process involved in reproduction" 0.890319816244784
1696 0.353857745920967 3 1 "GO:0003007;GO:0009887" "animal organ morphogenesis" 0.902924005967186
494 0.252388243479068 2 18 "GO:0003008" "system process" 0.890319816244784
3023 0.09837931087271 2 1 "GO:0003341;GO:0007018" "cilium movement" 0.890319816244784
-116 0.912376816375292 3 3 "GO:0005976;GO:0005975" "carbohydrate metabolic process" 0.977106789940297
1161 0.369344672052596 3 2 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0044264;GO:0044262;GO:0015980;GO:0006091" "energy reserve metabolic process" 0.902924005967186
-311 0.810075965419963 3 2 "GO:0006033;GO:0033037" "polysaccharide localization" 0.977106789940297
-176 0.617371253603226 4 27 "GO:0006259" "DNA metabolic process" 0.926056880404839
817 0.206990152691791 4 8 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 0.890319816244784
-385 0.833470914087969 3 1 "GO:0006289" "nucleotide-excision repair" 0.977106789940297
1495 0.102170579337246 2 4 "GO:0006302" "double-strand break repair" 0.890319816244784
2311 0.206435945337051 3 1 "GO:0006303;GO:0000726" "non-recombinational repair" 0.890319816244784
1716 0.104221424995806 4 3 "GO:0006351;GO:0097659;GO:0032774;GO:0034654;GO:0018130;GO:0019438;GO:1901362" "heterocycle biosynthetic process" 0.890319816244784
1983 0.125362837078939 6 2 "GO:0006360" "transcription by RNA polymerase I" 0.890319816244784
853 0.509822794209047 7 2 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 0.911999941517449
1182 0.51823579560091 4 1 "GO:0006366" "transcription by RNA polymerase II" 0.911999941517449
851 0.141398874134091 3 10 "GO:0006396" "RNA processing" 0.890319816244784
1149 0.276901309110958 2 3 "GO:0006397" "mRNA processing" 0.890319816244784
-230 0.584174853124354 2 19 "GO:0006464;GO:0036211;GO:0044267;GO:0043412;GO:0019538;GO:1901564" "protein metabolic process" 0.915364096097271
1626 0.374080942937561 5 1 "GO:0006487;GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.902924005967186
-2128 0.244684068216114 6 1 "GO:0006506;GO:0006497;GO:0006505;GO:0006661;GO:0009247;GO:0006664;GO:0046488;GO:0046474;GO:0046467;GO:1901137;GO:0006643;GO:1903509;GO:0006650;GO:0008654;GO:0045017;GO:0008610;GO:1901135;GO:0006644;GO:0046486;GO:0090407;GO:0006796;GO:0019637;GO:0006793" "GPI anchor biosynthetic process" 0.890319816244784
341 0.792142527021681 2 2 "GO:0006508" "proteolysis" 0.977106789940297
-1512 0.0430039892280193 3 6 "GO:0006629" "lipid metabolic process" 0.890319816244784
-769 0.0832865395042114 2 17 "GO:0006810;GO:0051234;GO:0051179" "localization" 0.890319816244784
-1656 0.200496503063762 5 2 "GO:0006886;GO:0046907" "intracellular protein transport" 0.890319816244784
1495 0.247676779571912 3 2 "GO:0006915;GO:0012501;GO:0008219" "programmed cell death" 0.890319816244784
406 0.586963730396032 2 6 "GO:0006928" "movement of cell or subcellular component" 0.915364096097271
347 0.409266506653927 2 19 "GO:0006950" "response to stress" 0.906897372699043
-1891 0.143773344845036 2 2 "GO:0006952" "defense response" 0.890319816244784
537 0.0747472741325843 4 37 "GO:0006996" "organelle organization" 0.890319816244784
-1164 0.27039768334473 2 3 "GO:0007033" "vacuole organization" 0.890319816244784
371 0.482167620921859 2 12 "GO:0007059" "chromosome segregation" 0.911999941517449
2731 0.13541344687609 5 1 "GO:0007064;GO:0007062" "mitotic sister chromatid cohesion" 0.890319816244784
2048 0.262878727454511 5 1 "GO:0007096;GO:1901990;GO:0007346;GO:1901987;GO:0010564" "regulation of mitotic cell cycle" 0.890319816244784
377 0.680547664737386 2 4 "GO:0007154" "cell communication" 0.934554891716833
-1730 0.181102394246111 2 2 "GO:0007160;GO:0031589;GO:0007155;GO:0022610" "cell-matrix adhesion" 0.890319816244784
197 0.605548555879733 3 23 "GO:0007165" "signal transduction" 0.915364096097271
-86 0.947432999475721 4 2 "GO:0007224;GO:0007166" "cell surface receptor signaling pathway" 0.979370694122639
1056 0.196960147925375 2 5 "GO:0007275" "multicellular organism development" 0.890319816244784
1076 0.556462224250814 3 1 "GO:0007288;GO:0022412;GO:0035082;GO:0001578" "sperm axoneme assembly" 0.915364096097271
1231 0.341375215339151 3 2 "GO:0007291;GO:0007349" "cellularization" 0.902924005967186
840 0.127909783438272 2 11 "GO:0007389;GO:0003002" "pattern specification process" 0.890319816244784
-112 0.931435736211538 1 2 "GO:0007610" "behavior" 0.977106789940297
173 0.0220193939194349 0 654 "GO:0008150" "biological_process" 0.890319816244784
-1017 0.335598366936057 2 3 "GO:0008218" "bioluminescence" 0.902924005967186
147 0.650012126109184 2 32 "GO:0009653" "anatomical structure morphogenesis" 0.927128669032513
-594 0.646094319493908 3 2 "GO:0009966;GO:0010646" "regulation of cell communication" 0.927128669032513
118 0.345050667817652 1 222 "GO:0009987" "cellular process" 0.902924005967186
125 0.647395955591313 2 45 "GO:0010468" "regulation of gene expression" 0.927128669032513
-665 0.529254569549648 4 3 "GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104" "protein transport" 0.911999941517449
-523 0.22568473125556 2 18 "GO:0015074" "DNA integration" 0.890319816244784
-1730 0.181228587458653 2 2 "GO:0015979" "photosynthesis" 0.890319816244784
556 0.0379703188915933 3 47 "GO:0016043;GO:0071840" "cellular component organization" 0.890319816244784
914 0.034147571140029 2 18 "GO:0016070" "RNA metabolic process" 0.890319816244784
551 0.461068565790173 6 6 "GO:0016071" "mRNA metabolic process" 0.911999941517449
34 0.970440515123789 2 4 "GO:0016477;GO:0048870;GO:0040011" "cell migration" 0.980496893518854
-1259 0.491344243842999 3 1 "GO:0016540;GO:0016485;GO:0051604" "protein maturation" 0.911999941517449
-208 0.671115202116095 7 14 "GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation" 0.931187603109776
129 0.704815793028271 2 29 "GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.943947840775908
412 0.302824405090245 4 21 "GO:0022607" "cellular component assembly" 0.890319816244784
1039 0.255893817595573 5 4 "GO:0022618;GO:0071826" "ribonucleoprotein complex subunit organization" 0.890319816244784
-165 0.876170404262637 2 3 "GO:0023051" "regulation of signaling" 0.977106789940297
-564 0.593271173563071 3 3 "GO:0030154" "cell differentiation" 0.915364096097271
-1524 0.404799872612219 3 1 "GO:0030318;GO:0050931" "melanocyte differentiation" 0.906897372699043
-145 0.93702035753249 4 1 "GO:0030336;GO:0030334;GO:2000146;GO:2000145;GO:0040013;GO:0051271;GO:0040012;GO:0051270" "negative regulation of cell migration" 0.977106789940297
1416 0.438917172132657 6 1 "GO:0031110;GO:0070507;GO:0051493;GO:0033043" "regulation of microtubule polymerization or depolymerization" 0.911999941517449
-52 0.855175049545519 3 41 "GO:0031323;GO:0051171;GO:0080090" "regulation of cellular metabolic process" 0.977106789940297
328 0.120416265941848 1 76 "GO:0032501" "multicellular organismal process" 0.890319816244784
144 0.500973910531502 1 74 "GO:0032502" "developmental process" 0.911999941517449
-685 0.51672273766266 3 3 "GO:0032879" "regulation of localization" 0.911999941517449
598 0.64387460766003 3 2 "GO:0032886" "regulation of microtubule-based process" 0.927128669032513
1269 0.487907650263598 3 1 "GO:0032970" "regulation of actin filament-based process" 0.911999941517449
-128 0.921604601915879 4 2 "GO:0032981;GO:0010257" "mitochondrial respiratory chain complex I assembly" 0.977106789940297
-523 0.522455310153241 2 5 "GO:0033036" "macromolecule localization" 0.911999941517449
-725 0.492725432035478 3 3 "GO:0033108" "mitochondrial respiratory chain complex assembly" 0.911999941517449
-1918 0.294396132065425 8 1 "GO:0033617;GO:0008535;GO:0017004" "respiratory chain complex IV assembly" 0.890319816244784
574 0.37486822327825 2 8 "GO:0034622" "cellular protein-containing complex assembly" 0.902924005967186
277 0.735035358440732 2 5 "GO:0034645;GO:0009059;GO:0044249;GO:1901576;GO:0009058;GO:0044271" "cellular biosynthetic process" 0.96845874929691
-938 0.251519112367085 3 5 "GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:0044248;GO:1901575;GO:0009056" "macromolecule catabolic process" 0.890319816244784
-457 0.541111923218083 2 6 "GO:0035556" "intracellular signal transduction" 0.915364096097271
-576 0.656121827315317 3 2 "GO:0036297" "interstrand cross-link repair" 0.927128669032513
-3015 0.0992731912072908 7 1 "GO:0039648;GO:0019054;GO:0031396;GO:0019048;GO:0044068;GO:0016032;GO:0044003;GO:0044403;GO:0051701;GO:0051817;GO:0035821;GO:1903320" "regulation of protein modification by small protein conjugation or removal" 0.890319816244784
461 0.36410962690922 2 13 "GO:0042221" "response to chemical" 0.902924005967186
1105 0.22701889919556 2 4 "GO:0042592" "homeostatic process" 0.890319816244784
824 0.652489903674679 5 1 "GO:0042632;GO:0055092;GO:0055088;GO:0048878" "lipid homeostasis" 0.927128669032513
123 0.924675616162104 4 2 "GO:0042754;GO:0042752" "negative regulation of circadian rhythm" 0.977106789940297
28 0.955142655816962 4 14 "GO:0042981;GO:0043067;GO:0010941" "regulation of cell death" 0.979370694122639
-42 0.839752134833004 3 79 "GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237" "metabolic process" 0.977106789940297
20 0.988121870788043 3 2 "GO:0043207;GO:0009605;GO:0009607" "response to external biotic stimulus" 0.993215282493136
-1079 0.555361720224453 5 1 "GO:0043409;GO:0043408;GO:1902532;GO:1902531;GO:0009968;GO:0010648;GO:0023057;GO:0048585" "negative regulation of signal transduction" 0.915364096097271
-1148 0.209339091858553 3 4 "GO:0044255" "cellular lipid metabolic process" 0.890319816244784
-48 0.851934474747034 2 52 "GO:0044260" "cellular macromolecule metabolic process" 0.977106789940297
-2317 0.0732382870556787 1 2 "GO:0044419" "biological process involved in interspecies interaction between organisms" 0.890319816244784
760 0.2127024762272 4 9 "GO:0044772;GO:0044770" "mitotic cell cycle phase transition" 0.890319816244784
248 0.892344775276061 2 1 "GO:0045494" "photoreceptor cell maintenance" 0.977106789940297
169 0.580421607207869 2 36 "GO:0048519;GO:0048523" "negative regulation of biological process" 0.915364096097271
-85 0.917100449102801 3 5 "GO:0048583" "regulation of response to stimulus" 0.977106789940297
965 0.597910687111585 2 1 "GO:0048598" "embryonic morphogenesis" 0.915364096097271
160 0.793742605802566 2 9 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.977106789940297
-272 0.694335450098356 2 7 "GO:0048731" "system development" 0.943947840775908
165 0.633179210797371 2 28 "GO:0048856" "anatomical structure development" 0.927128669032513
-319 0.727226876834284 2 4 "GO:0048869" "cellular developmental process" 0.964688714167928
127 0.404435321360995 2 147 "GO:0050789;GO:0065007" "biological regulation" 0.906897372699043
58 0.752882523337117 2 100 "GO:0050794" "regulation of cellular process" 0.977106789940297
453 0.183235672939328 1 29 "GO:0050896" "response to stimulus" 0.890319816244784
1008 0.581688059847188 3 1 "GO:0050909;GO:0007606;GO:0007600;GO:0050877" "nervous system process" 0.915364096097271
1392 0.187567688977791 6 3 "GO:0051260;GO:0051259" "protein complex oligomerization" 0.890319816244784
-471 0.528181029406565 2 6 "GO:0051301" "cell division" 0.911999941517449
2606 0.154232875369118 3 1 "GO:0051382;GO:0051383" "kinetochore assembly" 0.890319816244784
-1618 0.376436844781428 4 1 "GO:0051607;GO:0002252;GO:0009615;GO:0140546;GO:0051707;GO:0098542" "defense response to symbiont" 0.902924005967186
-1166 0.269712022859998 2 3 "GO:0051641;GO:0051649" "cellular localization" 0.890319816244784
79 0.891880665394856 4 10 "GO:0051726;GO:0000075;GO:0045786" "regulation of cell cycle" 0.977106789940297
-1125 0.103908753770709 3 7 "GO:0055085;GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656;GO:0034220" "transmembrane transport" 0.890319816244784
47 0.840848129380529 4 63 "GO:0060255;GO:0019222" "regulation of metabolic process" 0.977106789940297
437 0.59324954758839 5 5 "GO:0060271;GO:0044782;GO:0120031;GO:0120036;GO:0030031;GO:0030030" "plasma membrane bounded cell projection organization" 0.915364096097271
-1264 0.489624324118575 3 1 "GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.911999941517449
798 0.148269724691651 5 11 "GO:0065003;GO:0043933" "protein-containing complex assembly" 0.890319816244784
285 0.574491992899326 2 13 "GO:0065008" "regulation of biological quality" 0.915364096097271
-55 0.932249084593277 5 8 "GO:0070925" "organelle assembly" 0.977106789940297
-668 0.226134450952819 3 11 "GO:0071702;GO:0071705;GO:0006820;GO:0006811" "ion transport" 0.890319816244784
220 0.416517074809628 3 46 "GO:0090304;GO:0006139;GO:0006725;GO:0034641;GO:0046483;GO:1901360" "cellular nitrogen compound metabolic process" 0.909543670231155
519 0.183819373421462 2 22 "GO:1903047;GO:0022402" "cell cycle process" 0.890319816244784
-173 0.0220193939194349 5 5681 "unknown" "unknown" 0.890319816244784
